event	i	j	k	pair	wt	prob	rate	val	rates_t
y	2	2	2	1	1.0	1.0	0.32881638319078077	0.32881638319078077	0.32881638319078077
y	3	3	3	1	1.0	1.0	0.32881638319078077	0.32881638319078077	0.32881638319078077
y	4	4	4	1	1.0	1.0	0.32881638319078077	0.32881638319078077	0.32881638319078077
y	5	5	5	1	1.0	1.0	0.32881638319078077	0.32881638319078077	0.32881638319078077
v	6	3	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	6	6	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	6	6	3	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	7	4	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	7	7	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	7	7	4	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	8	5	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	8	8	2	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	8	8	5	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	9	4	3	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	9	9	3	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	9	9	4	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	10	5	3	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	10	10	3	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	10	10	5	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	11	5	4	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	11	11	4	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
s	11	11	5	2	2.0	0.3333333333333333	0.10960546106359359	0.10960546106359359	0.10960546106359359
v	12	6	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	12	7	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	12	9	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	12	12	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	12	12	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	12	12	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	13	6	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	13	8	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	13	10	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	13	13	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	13	13	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	13	13	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	14	7	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	14	8	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	14	11	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	14	14	2	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	14	14	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	14	14	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	15	9	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	15	10	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	15	11	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	15	15	3	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	15	15	4	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
s	15	15	5	2	2.0	0.16666666666666666	0.054802730531796795	0.054802730531796795	0.054802730531796795
v	16	12	5	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
v	16	13	4	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
v	16	14	3	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
v	16	15	2	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
s	16	16	2	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
s	16	16	3	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
s	16	16	4	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
s	16	16	5	2	2.0	0.125	0.041102047898847596	0.041102047898847596	0.041102047898847596
