event	i	j	val	vals_t
d	2	6	0.034	0.068
d	2	7	0.034	0.068
d	2	8	0.034	0.068
d	3	6	0.034	0.068
d	3	9	0.034	0.068
d	3	10	0.034	0.068
d	4	7	0.034	0.068
d	4	9	0.034	0.068
d	4	11	0.034	0.068
d	5	8	0.034	0.068
d	5	10	0.034	0.068
d	5	11	0.034	0.068
d	6	12	0.068	0.136
d	6	13	0.068	0.136
d	7	12	0.068	0.136
d	7	14	0.068	0.136
d	8	13	0.068	0.136
d	8	14	0.068	0.136
d	9	12	0.068	0.136
d	9	15	0.068	0.136
d	10	13	0.068	0.136
d	10	15	0.068	0.136
d	11	14	0.068	0.136
d	11	15	0.068	0.136
d	12	16	0.10200000000000001	0.20400000000000001
d	13	16	0.10200000000000001	0.20400000000000001
d	14	16	0.10200000000000001	0.20400000000000001
d	15	16	0.10200000000000001	0.20400000000000001
e	2	1	0.028	0.028
e	3	1	0.028	0.028
e	4	1	0.028	0.028
e	5	1	0.028	0.028
e	6	2	0.028	0.028
e	6	3	0.028	0.028
e	7	2	0.028	0.028
e	7	4	0.028	0.028
e	8	2	0.028	0.028
e	8	5	0.028	0.028
e	9	3	0.028	0.028
e	9	4	0.028	0.028
e	10	3	0.028	0.028
e	10	5	0.028	0.028
e	11	4	0.028	0.028
e	11	5	0.028	0.028
e	12	6	0.028	0.028
e	12	7	0.028	0.028
e	12	9	0.028	0.028
e	13	6	0.028	0.028
e	13	8	0.028	0.028
e	13	10	0.028	0.028
e	14	7	0.028	0.028
e	14	8	0.028	0.028
e	14	11	0.028	0.028
e	15	9	0.028	0.028
e	15	10	0.028	0.028
e	15	11	0.028	0.028
e	16	12	0.028	0.028
e	16	13	0.028	0.028
e	16	14	0.028	0.028
e	16	15	0.028	0.028
