156	10 (NA CA SA AF MA WE EE IN SE AU)
Derotettix_mendosensis_Argentina	0010000000
Auritibicen_flammatus_Japan	0000001010
Lyristes_gemellus_Greece	0000010000
Hadoa_townsendii_USA	1000000000
Cacama_moorei_USA	1000000000
Heteropsaltria_aliena_Solom.Is.	0000000001
Neotibicen_winnemanna_USA	1000000000
Chremistica_sp._Malaysia	0000000010
Cryptotympana_atrata_China	0000001000
Tacua_speciosa_Malaysia	0000000010
Megatibicen_resonans_USA	1000000000
Chremistica_ribhoi_India	0000000100
Neoplatypedia_constricta_USA	1000000000
Hemidictya_frondosa_Bolivia	0010000000
Torrescada_sanjuanensis_Argentina	0010000000
Chilecicada_trifascia_Chile	0010000000
Selymbria_guianensis_Fr.Guiana	0010000000
Okanagodes_gracilis_USA	1000000000
Platypedia_putnami_USA	1000000000
Tettigades_sp._Argentina	0010000000
Acuticephala_alipuncta_Argentina	0010000000
Aragualna_plenalinea_Venezuela	0010000000
Chilecicada_sp._Chile	0010000000
Chonosia_sp._Argentina	0010000000
Clidophleps_sp._USA	1000000000
Okanagana_canadensis_USA	1000000000
Selymbria_madredediosensis_Peru	0010000000
Tettigades_ulnaria_Chile	0010000000
Tibicina_haematodes_Greece	0000010000
Monomatapa_matoposa_Malawi	0001000000
Trismarcha_sp._Togo	0001000000
Abricta_brunnea_Mauritius	0000100000
Fractuosella_breoni_Reunion	0000100000
Lembeja_paradoxa_Australia	0000000001
Rhodopsalta_cruentata_NZ	0000000001
Maoricicada_hamiltoni_NZ	0000000001
Vastarena_pumila_N.Caledonia	0000000001
Germalna_germaini_N.Caledonia	0000000001
Maoricicada_mangu_multicostata_NZ	0000000001
Caledopsalta_johanae_N.Caledonia	0000000001
Caledopsalta_judithae_N.Caledonia	0000000001
Myersalna_depicta_N.Caledonia	0000000001
UNKNOWN_Cicadettini_speciesT_N.Caledonia	0000000001
UNKNOWN_Cicadettini_speciesU_N.Caledonia	0000000001
Magicicada_tredecim_USA	1000000000
Klapperichicen_sp._Pakistan	0000001000
nr.Trismarcha_sp.Ghana_Ghana	0001000000
Calyria_sp._Ecuador	0010000000
Prasinosoma_heidemanni_Argentina	0010000000
Baeturia_sp._Vanuatu	0000000001
nr.Decebalus_sp.Mad_Madagascar	0000100000
nr.Zouga_sp._S.Africa	0001000000
Calopsaltria_sp._S.Africa	0001000000
Prasia_faticina_Indonesia	0000000001
Taipinga_nigricans_S.Africa	0001000000
Panka_lungunca_Iv.Coast	0001000000
Prunasis_sp._Brazil	0010000000
Brevialavenosa_sp.1_Brazil	0010000000
Parnisa_sp.1_Brazil	0010000000
Parnisa_sp.2_Brazil	0010000000
Parnisa_sp.3_Brazil	0010000000
Magicicada_cassini_USA	1000000000
Carineta_diardi_Brazil	0010000000
Cicadetta_fangoana_France	0000010000
Allobroma_kedenburgi_Malaysia	0000000010
Chlorocysta_suffusa_Australia	0000000001
Chrysocicada_sp._Australia	0000000001
Cicadatra_atra_Greece	0000010000
Huechys_sanguinea_Vietnam	0000000111
Katoa_sp._Vietnam	0000000010
Mogannia_hebes_Taiwan	0000001010
Nelcyndana_sp._Malaysia	0000000010
Pagiphora_annulata_Turkey	0000010000
Parnisa_sp._Argentina	0010000000
Taphura_sp._Peru	0010000000
Tryella_willsi_Australia	0000000001
Venustria_superba_Australia	0000000001
Zouga_sp._S.Africa	0001000000
Kikihia_rosea_NZ	0000000001
Kikihia_scutellaris_NZ	0000000001
Nablistes_heterochroma_Ghana	0001000000
Xosopsaltria_thunbergi_S.Africa	0001000000
Lacetas_sp._Ghana	0001000000
