N	C	S	F	M	W	E	I	D	Z
0.00	0.01	15.0	55.0	140.0	45.0	10.0	110.0	110.0	100.0
0.01	0.00	0.01	50.0	130.0	60.0	115.0	130.0	150.0	112.0
15.0	0.01	0.00	30.0	85.0	60.0	115.0	125.0	145.0	80.0
55.0	50.0	30.0	0.00	4.00	0.01	0.01	8.00	50.0	80.0
140.0	130.0	85.0	4.00	0.00	55.0	45.0	37.0	55.0	65.0
45.0	60.0	60.0	0.01	55.0	0.00	0.01	20.0	50.0	98.0
10.0	115.0	115.0	0.01	45.0	0.01	0.00	0.01	0.01	40.0
110.0	130.0	125.0	8.00	37.0	20.0	0.01	0.00	0.01	48.0
110.0	150.0	145.0	50.0	55.0	50.0	0.01	0.01	0.00	5.00
100.0	112.0	80.0	80.0	65.0	98.0	40.0	48.0	5.00	0.00

END
