N	C	S	F	M	W	E	I	D	Z
0.00	1.0	15.0	55.0	140.0	45.0	10.0	110.0	110.0	100.0
1.0	0.00	1.0	50.0	130.0	60.0	115.0	130.0	150.0	112.0
15.0	1.0	0.00	30.0	85.0	60.0	115.0	125.0	145.0	80.0
55.0	50.0	30.0	0.00	4.00	1.0	1.0	8.00	50.0	80.0
140.0	130.0	85.0	4.00	0.00	55.0	45.0	37.0	55.0	65.0
45.0	60.0	60.0	1.0	55.0	0.00	1.0	20.0	50.0	98.0
10.0	115.0	115.0	1.0	45.0	1.0	0.00	1.0	1.0	40.0
110.0	130.0	125.0	8.00	37.0	20.0	1.0	0.00	1.0	48.0
110.0	150.0	145.0	50.0	55.0	50.0	1.0	1.0	0.00	5.00
100.0	112.0	80.0	80.0	65.0	98.0	40.0	48.0	5.00	0.00

N	C	S	F	M	W	E	I	D	Z
0.00	1.0	20.0	35.0	110.0	25.0	1.0	95.0	125.0	110.0
1.0	0.00	10.0	50.0	125.0	55.0	110.0	130.0	150.0	115.0
20.0	10.0	0.00	20.0	75.0	50.0	95.0	105.0	135.0	100.0
35.0	50.0	20.0	0.00	3.50	5.00	8.50	9.50	45.0	67.0
110.0	125.0	75.0	3.50	0.00	60.0	55.0	30.0	58.0	58.0
25.0	55.0	50.0	5.00	60.0	0.00	1.0	25.0	50.0	105.0
1.0	110.0	95.0	8.50	55.0	1.0	0.00	1.0	1.0	55.0
95.0	130.0	105.0	9.50	30.0	25.0	1.0	0.00	1.0	50.0
125.0	150.0	135.0	45.0	58.0	50.0	1.0	1.0	0.00	20.0
110.0	115.0	100.0	67.0	58.0	105.0	55.0	50.0	20.0	0.00

N	C	S	F	M	W	E	I	D	Z
0.00	12.0	25.0	30.0	110.0	8.00	1.0	98.0	120.0	110.0
12.0	0.00	11.0	45.0	120.0	55.0	110.0	130.0	140.0	100.0
25.0	11.0	0.00	14.0	63.0	50.0	90.0	90.0	130.0	85.0
30.0	45.0	14.0	0.00	6.00	5.00	23.0	20.0	55.0	55.0
110.0	12.0	60.0	6.00	0.00	60.0	58.0	25.0	70.0	50.0
8.00	55.0	50.0	5.00	60.0	0.00	1.0	40.0	60.0	110.0
1.0	110.0	90.0	23.0	58.0	1.0	0.00	8.50	1.0	75.0
98.0	130.0	90.0	20.0	25.0	40.0	8.50	0.00	20.0	45.0
120.0	140.0	130.0	55.0	70.0	60.0	1.0	20.0	0.00	30.0
110.0	100.0	85.0	55.0	50.0	110.0	75.0	45.0	30.0	0.00

N	C	S	F	M	W	E	I	D	Z
0.00	15.0	30.0	30.0	120.0	4.00	1.0	100.0	100.0	150.0
15.0	0.00	5.00	37.0	100.0	50.0	110.0	120.0	150.0	140.0
30.0	5.00	0.00	9.00	55.0	45.0	95.0	65.0	140.0	80.0
30.0	37.0	9.00	0.00	8.00	6.00	28.0	16.0	55.0	50.0
120.0	100.0	55.0	8.00	0.00	67.0	60.0	5.00	75.0	45.0
4.00	50.0	45.0	6.00	67.0	0.00	1.0	55.0	50.0	100.0
1.0	110.0	95.0	28.0	60.0	1.0	0.00	45.0	1.0	67.0
100.0	120.0	65.0	16.0	5.00	55.0	45.0	0.00	55.0	40.0
100.0	150.0	140.0	55.0	75.0	50.0	1.0	55.0	0.00	33.0
150.0	140.0	80.0	50.0	45.0	100.0	67.0	40.0	33.0	0.00

N	C	S	F	M	W	E	I	D	Z
0.00	9.50	27.0	20.0	110.0	2.00	1.0	110.0	97.0	150.0
9.50	0.00	10.0	35.0	100.0	50.0	110.0	110.0	150.0	140.0
27.0	10.0	0.00	5.00	46.0	40.0	90.0	50.0	130.0	58.0
20.0	35.0	5.00	0.00	6.50	6.00	35.0	10.0	65.0	48.0
110.0	100.0	46.0	6.50	0.00	75.0	72.0	1.0	80.0	42.0
2.00	50.0	40.0	6.00	75.0	0.00	1.0	70.0	50.0	110.0
1.0	110.0	90.0	35.0	72.0	1.0	0.00	60.0	1.0	40.0
110.0	110.0	50.0	10.0	1.0	70.0	60.0	0.00	64.0	25.0
97.0	150.0	130.0	65.0	80.0	50.0	1.0	64.0	0.00	40.0
150.0	140.0	58.0	48.0	42.0	110.0	40.0	25.0	40.0	0.00

END
