col1	col2	col3
row1	0	0	0
row2	0	0	0
row3	0	0	0
row4	0	0	0
row5	0	0	0
row6	0	0	0
row7	0	0	0
row8	0	0	0
row9	0	0	0
row10	0	0	0
row11	0	0	0
row12	0	0	0
row13	0	0	0
row14	0	0	0
row15	0	0	0
row16	0	0	0
row17	0	0	0
row18	0	0	0
row19	0	0	0
row20	0	0	0
row21	0	0	0
row22	0	0	0
row23	0	0	0
row24	0	0	0
row25	0	0	0
row26	0	0	0
row27	0	0	0
row28	0	0	0
row29	0	0	0
row30	0	0	0
row31	0	0	0
row32	0	0	0
row33	0	0	0
row34	0	0	0
row35	0	0	0
row36	0	0	0
row37	0	0	0
row38	0	0	0
row39	0	0	0
row40	0	0	0
row41	0	0	0
row42	0	0	0
row43	0	0	0
row44	0	0	0
row45	0	0	0
row46	0	0	0
row47	0	0	0
row48	0	0	0
row49	0	0	0
row50	0	0	0
row51	0	0	0
row52	0	0	0
row53	0	0	0
row54	0	0	0
row55	0	0	0
row56	0	0	0
row57	0	0	0
row58	0	0	0
row59	0	0	0
row60	0	0	0
row61	0	0	0
row62	0	0	0
row63	0	0	0
row64	0	0	0
row65	0	0	0
row66	0	0	0
row67	0	0	0
row68	0	0	0
row69	0	0	0
row70	0	0	0
row71	0	0	0
row72	0	0	0
row73	0	0	0
row74	0	0	0
row75	0	0	0
row76	0	0	0
row77	0	0	0
row78	0	0	0
row79	0	0	0
row80	0	0	0
row81	0	0	0
row82	0	0	0
row83	0	0	0
row84	0	0	0
row85	0	0	0
row86	0	0	0
row87	0	0	0
row88	0	0	0
row89	0	0	0
row90	0	0	0
row91	0	0	0
row92	0	0	0
row93	0	0	0
row94	0	0	0
row95	0	0	0
row96	0	0	0
row97	0	0	0
row98	0	0	0
row99	0	0	0
row100	0	0	0
row101	0	0	0
row102	0	0	0
row103	0	0	0
row104	0	0	0
row105	0	0	0
row106	0	0	0
row107	0	0	0
row108	0	0	0
row109	0	0	0
row110	0	0	0
row111	0	0	0
row112	0	0	0
row113	0	0	0
row114	0	0	0
row115	0	0	0
row116	0	0	0
row117	0	0	0
row118	0	0	0
row119	0	0	0
row120	0	0	0
row121	0	0	0
row122	0	0	0
row123	0	0	0
row124	0	0	0
row125	0	0	0
row126	0	0	0
row127	0	0	0
row128	0	0	0
row129	0	0	0
row130	0	0	0
row131	0	0	0
row132	0	0	0
row133	0	0	0
row134	0	0	0
row135	0	0	0
row136	0	0	0
row137	0	0	0
row138	0	0	0
row139	0	0	0
row140	0	0	0
row141	0	0	0
row142	0	0	0
row143	0	0	0
row144	0	0	0
row145	0	0	0
row146	0	0	0
row147	0	0	0
row148	0	0	0
row149	0	0	0
row150	0	0	0
row151	0	0	0
row152	0	0	0
row153	0	0	0
row154	0	0	0
row155	0	0	0
row156	0	0	0
row157	0	0	0
row158	0	0	0
row159	0	0	0
row160	0	0	0
row161	0	0	0
row162	0	0	0
row163	0	0	0
row164	0	0	0
row165	0	0	0
row166	0	0	0
row167	0	0	0
row168	0	0	0
row169	0	0	0
row170	0	0	0
row171	0	0	0
row172	0	0	0
row173	0	0	0
row174	0	0	0
row175	0	0	0
row176	0	0	0
row177	0	0	0
row178	0	0	0
row179	0	0	0
row180	0	0	0
row181	0	0	0
row182	0	0	0
row183	0	0	0
row184	0	0	0
row185	0	0	0
row186	0	0	0
row187	0	0	0
row188	0	0	0
row189	0	0	0
row190	0	0	0
row191	0	0	0
row192	0	0	0
row193	0	0	0
row194	0	0	0
row195	0	0	0
row196	0	0	0
row197	0	0	0
row198	0	0	0
row199	0	0	0
row200	0	0	0
row201	0	0	0
row202	0	0	0
row203	0	0	0
row204	0	0	0
row205	0	0	0
row206	0	0	0
row207	0	0	0
