x1	x2	x3	x4	x5	x6	x7	x8
0.0	0.0257	0.4084	0.0257	0.1935	0.0276	0.1935	0.1256
0.0	0.0257	0.4084	0.0257	0.1935	0.0276	0.1935	0.1256
0.0	0.0278	0.3974	0.0278	0.1943	0.03	0.1943	0.1285
0.0	0.0003	0.9353	0.0003	0.0287	0.0001	0.0287	0.0066
0.0	0.0003	0.0003	0.9353	0.0001	0.0287	0.0287	0.0066
0.0	0.0396	0.0396	0.3488	0.0439	0.194	0.194	0.14
0.0	0.6236	0.007	0.007	0.1443	0.1443	0.0059	0.0678
0.0	0.6236	0.007	0.007	0.1443	0.1443	0.0059	0.0678
0.0	0.5135	0.0133	0.0133	0.1753	0.1753	0.0129	0.0962
0.0	0.4582	0.0186	0.0186	0.1869	0.1869	0.0191	0.1116
0.0	0.0237	0.4209	0.0237	0.1923	0.0251	0.1923	0.1221
0.0	0.0518	0.3141	0.0518	0.1896	0.0576	0.1896	0.1455
0.0	0.0564	0.0564	0.3031	0.0625	0.1875	0.1875	0.1466
0.0	0.0012	0.0012	0.8454	0.0007	0.0651	0.0651	0.0212
0.0	0.0012	0.0012	0.8454	0.0007	0.0651	0.0651	0.0212
0.0	0.0247	0.0247	0.4146	0.0264	0.1929	0.1929	0.1239
0.0	0.0247	0.0247	0.4146	0.0264	0.1929	0.1929	0.1239
0.0	0.014	0.014	0.5057	0.0136	0.1772	0.1772	0.0983
0.0	0.014	0.5057	0.014	0.1772	0.0136	0.1772	0.0983
0.0	0.0372	0.3573	0.0372	0.1945	0.0411	0.1945	0.1383
0.0	0.0372	0.0372	0.3573	0.0411	0.1945	0.1945	0.1383
0.0	0.3093	0.0538	0.0538	0.1887	0.1887	0.0597	0.146
0.0	0.7466	0.0031	0.0031	0.1024	0.1024	0.0022	0.0402
0.0	0.7466	0.0031	0.0031	0.1024	0.1024	0.0022	0.0402
0.0	0.3753	0.0325	0.0325	0.1949	0.1949	0.0356	0.1342
0.0	0.8351	0.0014	0.0014	0.0691	0.0691	0.0008	0.023
0.0	0.8351	0.0014	0.0014	0.0691	0.0691	0.0008	0.023
0.0	0.0443	0.3342	0.0443	0.1926	0.0493	0.1926	0.1427
0.0	0.0007	0.8928	0.0007	0.0462	0.0003	0.0462	0.0131
0.0	0.0007	0.8928	0.0007	0.0462	0.0003	0.0462	0.0131
0.0	0.002	0.8013	0.002	0.0821	0.0012	0.0821	0.0293
0.0	0.0	0.9875	0.0	0.006	0.0	0.006	0.0006
0.0	0.0	0.9875	0.0	0.006	0.0	0.006	0.0006
0.0	0.8408	0.0013	0.0013	0.0669	0.0669	0.0008	0.022
0.0	0.8408	0.0013	0.0013	0.0669	0.0669	0.0008	0.022
0.0	0.4064	0.0261	0.0261	0.1936	0.1936	0.028	0.1261
0.0	0.4064	0.0261	0.0261	0.1936	0.1936	0.028	0.1261
0.0	0.3954	0.0282	0.0282	0.1944	0.1944	0.0305	0.129
0.0	0.9218	0.0004	0.0004	0.0343	0.0343	0.0002	0.0086
0.0	0.9218	0.0004	0.0004	0.0343	0.0343	0.0002	0.0086
0.0	0.5269	0.0123	0.0123	0.1721	0.1721	0.0118	0.0926
0.0	0.9584	0.0001	0.0001	0.0189	0.0189	0.0	0.0035
0.0	0.9584	0.0001	0.0001	0.0189	0.0189	0.0	0.0035
0.0	0.8094	0.0018	0.0018	0.079	0.079	0.0011	0.0278
0.0	0.8094	0.0018	0.0018	0.079	0.079	0.0011	0.0278
0.0	0.976	0.0001	0.0001	0.0112	0.0112	0.0	0.0016
0.0	0.976	0.0001	0.0001	0.0112	0.0112	0.0	0.0016
0.0	0.937	0.0003	0.0003	0.028	0.028	0.0001	0.0064
0.0	0.937	0.0003	0.0003	0.028	0.028	0.0001	0.0064
0.0	0.7589	0.0028	0.0028	0.0979	0.0979	0.0019	0.0377
0.0	0.8977	0.0006	0.0006	0.0442	0.0442	0.0003	0.0123
0.0	0.8977	0.0006	0.0006	0.0442	0.0442	0.0003	0.0123
0.0	0.799	0.002	0.002	0.083	0.083	0.0013	0.0298
0.0	0.799	0.002	0.002	0.083	0.083	0.0013	0.0298
