x1	x2	x3	x4	x5	x6	x7	x8
0.0	0.0515	0.8813	0.0666	0.0001	0.0	0.0005	0.0
0.0	0.0515	0.8813	0.0666	0.0001	0.0	0.0005	0.0
0.0	0.0516	0.6839	0.2623	0.0003	0.0001	0.0018	0.0
0.0	0.0524	0.1304	0.8119	0.0001	0.0012	0.004	0.0
0.0	0.0524	0.8695	0.0745	0.0012	0.0001	0.0023	0.0
0.0	0.0574	0.8149	0.1258	0.0005	0.0001	0.0012	0.0
0.0	0.8936	0.0541	0.0516	0.0005	0.0002	0.0	0.0
0.0	0.8936	0.0541	0.0516	0.0005	0.0002	0.0	0.0
0.0	0.8538	0.0919	0.0528	0.0012	0.0002	0.0	0.0
0.0	0.4752	0.4563	0.0653	0.0027	0.0002	0.0002	0.0
0.0	0.4733	0.3061	0.2117	0.0049	0.0034	0.0005	0.0
0.0	0.2509	0.34	0.4076	0.0001	0.0007	0.0006	0.0
0.0	0.1876	0.4375	0.3705	0.002	0.0008	0.0015	0.0001
0.0	0.0529	0.0538	0.8904	0.0	0.0014	0.0014	0.0
0.0	0.0529	0.0538	0.8904	0.0	0.0014	0.0014	0.0
0.0	0.0523	0.0532	0.8932	0.0	0.0007	0.0007	0.0
0.0	0.0523	0.0532	0.8932	0.0	0.0007	0.0007	0.0
0.0	0.0535	0.6442	0.2956	0.0009	0.0003	0.0054	0.0
0.0	0.0525	0.0558	0.8897	0.0	0.001	0.001	0.0
0.0	0.052	0.0553	0.8921	0.0	0.0003	0.0003	0.0
0.0	0.0533	0.6499	0.2946	0.0003	0.0001	0.0018	0.0
0.0	0.8914	0.0554	0.0522	0.0006	0.0005	0.0	0.0
0.0	0.8935	0.0522	0.0522	0.001	0.001	0.0	0.0
0.0	0.8935	0.0522	0.0522	0.001	0.001	0.0	0.0
0.0	0.8944	0.0522	0.052	0.0007	0.0007	0.0	0.0
0.0	0.812	0.1293	0.0522	0.0049	0.0014	0.0002	0.0
0.0	0.812	0.1293	0.0522	0.0049	0.0014	0.0002	0.0
0.0	0.8927	0.0543	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.0542	0.8936	0.0515	0.0006	0.0	0.0001	0.0
0.0	0.0542	0.8936	0.0515	0.0006	0.0	0.0001	0.0
0.0	0.0924	0.8535	0.0514	0.0024	0.0	0.0002	0.0
0.0	0.0926	0.8526	0.0516	0.0028	0.0	0.0004	0.0
0.0	0.0926	0.8526	0.0516	0.0028	0.0	0.0004	0.0
0.0	0.8132	0.1288	0.0517	0.0054	0.0008	0.0001	0.0
0.0	0.8132	0.1288	0.0517	0.0054	0.0008	0.0001	0.0
0.0	0.8952	0.0519	0.0521	0.0004	0.0005	0.0	0.0
0.0	0.8952	0.0519	0.0521	0.0004	0.0005	0.0	0.0
0.0	0.8847	0.0548	0.0566	0.0017	0.0021	0.0001	0.0001
0.0	0.8954	0.0518	0.0518	0.0005	0.0005	0.0	0.0
0.0	0.8954	0.0518	0.0518	0.0005	0.0005	0.0	0.0
0.0	0.8966	0.0515	0.0515	0.0002	0.0002	0.0	0.0
0.0	0.8955	0.0518	0.0518	0.0005	0.0005	0.0	0.0
0.0	0.8955	0.0518	0.0518	0.0005	0.0005	0.0	0.0
0.0	0.896	0.0517	0.0517	0.0003	0.0003	0.0	0.0
0.0	0.896	0.0517	0.0517	0.0003	0.0003	0.0	0.0
0.0	0.8949	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.8949	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.895	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.895	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.8969	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0002	0.0002	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0002	0.0002	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8961	0.0516	0.0516	0.0003	0.0003	0.0	0.0
0.0	0.895	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.895	0.0519	0.0519	0.0006	0.0006	0.0	0.0
0.0	0.897	0.0514	0.0514	0.0001	0.0001	0.0	0.0
0.0	0.896	0.0517	0.0517	0.0003	0.0003	0.0	0.0
0.0	0.896	0.0517	0.0517	0.0003	0.0003	0.0	0.0
0.0	0.8958	0.0517	0.0517	0.0004	0.0004	0.0	0.0
0.0	0.8958	0.0517	0.0517	0.0004	0.0004	0.0	0.0
0.0	0.4721	0.4752	0.0515	0.001	0.0001	0.0	0.0
0.0	0.0543	0.8934	0.0515	0.0005	0.0	0.0002	0.0
0.0	0.0543	0.8934	0.0515	0.0005	0.0	0.0002	0.0
0.0	0.0517	0.8966	0.0515	0.0002	0.0	0.0001	0.0
0.0	0.0517	0.8966	0.0515	0.0002	0.0	0.0001	0.0
0.0	0.0543	0.8932	0.0516	0.0006	0.0	0.0003	0.0
0.0	0.4734	0.4713	0.0514	0.0033	0.0002	0.0003	0.0
0.0	0.8968	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8968	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8955	0.0518	0.0518	0.0005	0.0004	0.0	0.0
0.0	0.8959	0.0517	0.0517	0.0003	0.0003	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8967	0.0515	0.0515	0.0001	0.0001	0.0	0.0
0.0	0.8945	0.0521	0.0519	0.0007	0.0007	0.0	0.0
0.0	0.8927	0.0548	0.0517	0.0005	0.0003	0.0	0.0
0.0	0.8525	0.0946	0.0516	0.0008	0.0004	0.0	0.0
0.0	0.894	0.054	0.0515	0.0003	0.0002	0.0	0.0
0.0	0.894	0.054	0.0515	0.0003	0.0002	0.0	0.0
0.0	0.8534	0.0937	0.0516	0.0009	0.0004	0.0	0.0
0.0	0.4734	0.4698	0.0514	0.0047	0.0003	0.0005	0.0
0.0	0.4734	0.4698	0.0514	0.0047	0.0003	0.0005	0.0
0.0	0.8861	0.055	0.0541	0.0026	0.002	0.0001	0.0001
0.0	0.8861	0.055	0.0541	0.0026	0.002	0.0001	0.0001
0.0	0.824	0.0669	0.089	0.008	0.0092	0.0016	0.0013
0.0	0.6878	0.1059	0.1937	0.004	0.0055	0.0026	0.0004
0.0	0.4204	0.0685	0.496	0.0011	0.012	0.0017	0.0003
0.0	0.8886	0.055	0.053	0.0018	0.0015	0.0	0.0
0.0	0.3225	0.5593	0.0912	0.0184	0.0022	0.0053	0.001
0.0	0.8754	0.0559	0.0611	0.0032	0.004	0.0002	0.0002
0.0	0.0802	0.0544	0.8569	0.0002	0.0062	0.002	0.0001
0.0	0.0674	0.3551	0.5739	0.0004	0.0019	0.0012	0.0001
0.0	0.2634	0.2933	0.4279	0.0041	0.0085	0.0025	0.0003
0.0	0.3088	0.0576	0.6088	0.0013	0.0201	0.0029	0.0005
0.0	0.3795	0.5198	0.0747	0.0196	0.002	0.0037	0.0006
0.0	0.0986	0.2804	0.6119	0.0018	0.0041	0.0028	0.0003
0.0	0.8869	0.054	0.0538	0.0025	0.0025	0.0001	0.0001
0.0	0.8869	0.054	0.0538	0.0025	0.0025	0.0001	0.0001
0.0	0.8621	0.0604	0.0597	0.008	0.0077	0.0011	0.001
0.0	0.763	0.0921	0.0865	0.0233	0.0219	0.007	0.0062
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0	0.449	0.1381	0.1381	0.0894	0.0894	0.0504	0.0455
0.0	0.5866	0.1467	0.1962	0.0242	0.0272	0.0112	0.0078
0.0	0.2029	0.6557	0.0948	0.0254	0.0055	0.0118	0.0039
0.0	0.7262	0.1856	0.0619	0.0188	0.0041	0.002	0.0015
0.0	0.875	0.0657	0.0528	0.0048	0.0013	0.0002	0.0002
0.0	0.4558	0.0857	0.4533	0.0012	0.0033	0.0005	0.0002
0.0	0.0939	0.0552	0.8485	0.0001	0.0018	0.0005	0.0
0.0	0.1077	0.4612	0.4293	0.0002	0.0004	0.0012	0.0
0.0	0.0578	0.0961	0.844	0.0	0.0007	0.0013	0.0
0.0	0.0521	0.1347	0.8124	0.0	0.0002	0.0006	0.0
0.0	0.0516	0.6839	0.2623	0.0003	0.0001	0.0018	0.0
0.0	0.0536	0.6156	0.3284	0.0001	0.0001	0.0022	0.0
0.0	0.0552	0.0773	0.8668	0.0	0.0004	0.0002	0.0
0.0	0.0529	0.5687	0.3771	0.0001	0.0001	0.001	0.0
0.0	0.0521	0.866	0.0795	0.0008	0.0	0.0015	0.0
0.0	0.4752	0.4563	0.0653	0.0027	0.0002	0.0002	0.0
0.0	0.8538	0.0919	0.0528	0.0012	0.0002	0.0	0.0
0.0	0.4526	0.1903	0.3508	0.003	0.0025	0.0005	0.0002
0.0	0.1172	0.3223	0.556	0.0016	0.0016	0.0013	0.0001
0.0	0.0574	0.0746	0.867	0.0	0.0005	0.0004	0.0
0.0	0.0574	0.0746	0.867	0.0	0.0005	0.0004	0.0
0.0	0.1044	0.0697	0.8222	0.0002	0.0024	0.0011	0.0001
0.0	0.0572	0.1132	0.8285	0.0	0.0005	0.0004	0.0
0.0	0.0572	0.1132	0.8285	0.0	0.0005	0.0004	0.0
0.0	0.3468	0.1643	0.472	0.004	0.008	0.0036	0.0012
0.0	0.8178	0.0672	0.1084	0.002	0.0038	0.0004	0.0003
0.0	0.8279	0.1119	0.0581	0.001	0.0009	0.0001	0.0001
0.0	0.8914	0.0554	0.0522	0.0006	0.0005	0.0	0.0
0.0	0.8944	0.0522	0.052	0.0007	0.0007	0.0	0.0
0.0	0.89	0.0527	0.0556	0.0006	0.001	0.0	0.0
0.0	0.8525	0.0948	0.052	0.0004	0.0003	0.0	0.0
0.0	0.3338	0.6101	0.0517	0.0037	0.0002	0.0005	0.0
0.0	0.8525	0.0948	0.052	0.0004	0.0003	0.0	0.0
0.0	0.89	0.0549	0.0524	0.0014	0.0013	0.0	0.0
