E->E,E	O->O,O	W->W,W
1	15	6	57
2	16	8	55
3	14	9	56
4	12	10	58
5	14	10	53
6	14	6	57
7	14	8	57
8	14	6	59
9	14	10	58
10	15	8	58
11	15	9	57
12	14	9	56
13	15	8	58
14	14	10	56
15	15	7	60
16	15	5	53
17	12	10	58
18	16	5	59
19	14	10	54
20	14	3	58
21	14	7	60
22	14	9	56
23	14	9	59
24	16	4	57
25	14	9	57
26	16	9	55
27	14	8	59
28	13	7	60
29	15	6	60
30	14	8	57
31	13	10	57
32	13	8	56
33	15	9	56
34	15	8	60
35	15	7	57
36	15	7	57
37	15	8	59
38	13	7	56
39	14	9	59
40	13	10	59
41	13	10	58
42	14	9	58
43	19	3	54
44	13	8	58
45	16	7	55
46	13	8	60
47	14	8	57
48	14	9	60
49	15	5	57
50	12	8	60
