EO->E,O	WE->E,W	WEO->E,WO	WEO->O,WE	WEO->W,EO	WO->O,W
1	0	0	0	0	0	1
2	0	0	1	0	0	1
3	0	1	0	0	0	0
4	0	3	0	0	0	0
5	0	1	0	1	0	0
6	0	0	0	0	1	0
7	2	0	0	0	0	1
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	1	0	0	0	0
11	1	1	0	0	0	0
12	0	1	0	0	0	0
13	0	1	0	0	0	0
14	0	1	0	0	0	0
15	0	0	0	0	0	1
16	1	3	0	0	0	0
17	0	1	0	0	0	0
18	0	1	0	0	0	0
19	0	0	0	0	0	1
20	0	1	0	0	1	0
21	0	0	0	0	0	0
22	0	0	0	0	0	1
23	0	0	0	0	0	0
24	0	1	0	0	0	1
25	0	1	0	0	0	0
26	0	0	0	0	0	1
27	0	0	0	0	0	0
28	0	0	0	0	0	0
29	0	0	0	0	0	0
30	0	1	0	0	0	0
31	0	0	0	0	0	0
32	0	1	0	1	0	0
33	0	0	1	0	0	1
34	0	0	0	0	0	0
35	1	1	0	0	0	0
36	0	0	0	0	0	0
37	0	0	0	0	0	0
38	0	0	0	0	1	0
39	0	0	0	0	0	0
40	0	0	0	0	0	0
41	0	1	0	0	0	0
42	0	0	0	0	0	0
43	0	1	0	0	0	0
44	0	1	0	0	0	0
45	0	1	0	0	0	0
46	0	0	0	0	0	0
47	0	0	0	0	0	1
48	0	0	0	0	0	0
49	0	0	0	0	1	0
50	0	0	0	0	0	0
