nodenum	simstate
1	2
2	4
3	2
4	2
5	2
6	4
7	2
8	2
9	2
10	2
11	2
12	3
13	3
14	3
15	2
16	2
17	4
18	4
19	2
20	2
21	3
22	3
23	2
24	2
25	2
26	3
27	2
28	2
29	1
30	1
31	2
32	2
33	1
34	3
35	2
36	2
37	4
38	4
39	2
40	2
41	2
42	2
43	2
44	4
45	2
46	2
47	2
48	4
49	3
50	4
51	2
52	1
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	1
61	2
62	2
63	1
64	2
65	2
66	4
67	2
68	2
69	2
70	4
71	2
72	4
73	1
74	2
75	2
76	1
77	4
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	3
90	2
91	2
92	2
93	2
94	2
95	2
96	1
97	2
98	2
99	4
100	2
101	4
102	2
103	4
104	2
105	2
106	2
107	2
108	2
109	4
110	2
111	2
112	3
113	2
114	4
115	3
116	4
117	1
118	1
119	2
120	2
121	4
122	2
123	2
124	2
125	2
126	2
127	2
128	1
129	1
130	2
131	2
132	2
133	2
134	2
135	2
136	2
137	2
138	4
139	2
140	2
141	3
142	2
143	2
144	2
145	2
146	2
147	1
148	2
149	2
150	2
151	2
152	4
153	2
154	2
155	4
156	2
157	3
158	2
159	2
160	4
161	4
162	2
163	2
164	2
165	2
166	2
167	2
168	2
169	2
170	1
171	1
172	2
173	2
174	2
175	2
176	2
177	2
178	2
179	4
180	1
181	2
182	4
183	2
184	3
185	2
186	2
187	2
188	2
189	3
190	2
191	2
192	2
193	2
194	2
195	4
196	2
197	2
198	4
199	2
200	2
201	2
202	2
203	2
204	2
205	2
206	2
207	2
208	4
209	2
210	2
211	2
212	4
213	2
214	2
215	2
216	2
217	4
218	4
219	4
220	3
221	2
222	2
223	2
224	2
225	2
226	2
227	1
228	1
229	2
230	2
231	2
232	3
233	3
234	2
235	2
236	4
237	2
238	2
239	1
240	1
241	2
242	2
243	2
244	2
245	1
246	2
247	2
248	3
249	4
250	3
251	3
252	3
253	4
254	2
255	2
256	2
257	2
258	2
259	2
260	2
261	2
262	4
263	2
264	4
265	2
266	2
267	2
268	2
269	2
270	2
271	4
272	2
273	4
274	2
275	3
276	2
277	3
278	2
279	2
280	2
281	2
282	2
283	2
284	2
285	2
286	2
287	2
288	2
289	2
290	1
291	2
292	4
293	2
294	2
295	2
296	2
297	2
298	2
299	2
300	2
301	2
302	2
303	3
304	2
305	2
306	2
307	2
308	4
309	2
310	2
311	2
312	4
313	4
314	2
315	2
316	2
317	3
318	2
319	2
320	2
321	2
322	1
323	1
324	2
325	2
326	2
327	2
328	3
329	4
330	4
331	2
332	1
333	1
334	2
335	2
336	2
337	2
338	4
339	4
340	2
341	2
342	2
343	2
344	2
345	1
346	2
347	2
348	2
349	2
350	2
351	2
352	2
353	2
354	2
355	2
356	2
357	2
358	3
359	3
360	1
361	1
362	2
363	2
364	2
365	2
366	2
367	2
368	2
369	2
370	2
371	2
372	4
373	2
374	3
375	4
376	2
377	2
378	2
379	2
380	2
381	2
382	2
383	2
384	2
385	2
386	2
387	2
388	2
389	3
390	3
391	2
392	2
393	2
394	2
395	2
396	3
397	2
398	4
399	1
400	1
401	3
402	3
403	3
404	4
405	2
406	2
407	2
408	2
409	2
410	2
411	2
412	2
413	2
414	2
415	2
416	2
417	2
418	4
419	2
420	2
421	2
422	2
423	2
424	2
425	2
426	2
427	2
428	2
429	2
430	2
431	2
432	4
433	2
434	2
435	2
436	2
437	1
438	1
439	2
440	2
441	2
442	3
443	2
444	2
445	2
446	2
447	3
448	3
449	2
450	2
451	1
452	1
453	1
454	2
455	2
456	3
457	4
458	3
459	3
460	2
461	2
462	2
463	2
464	2
465	4
466	1
467	1
468	2
469	2
470	2
471	2
472	3
473	3
474	2
475	2
476	2
477	2
478	2
479	4
480	2
481	2
482	2
483	1
484	1
485	2
486	2
487	2
488	2
489	2
490	2
491	3
492	3
493	2
494	4
495	2
496	2
497	2
498	3
499	3
500	2
501	2
502	2
503	2
504	2
505	2
506	2
507	2
508	2
509	2
510	2
511	4
512	2
513	2
514	2
515	2
516	2
517	4
518	2
519	2
520	2
521	2
522	2
523	2
524	2
525	2
526	4
527	2
528	2
529	2
530	2
531	2
532	2
533	2
534	2
535	2
536	4
537	2
538	3
539	4
540	2
541	2
542	2
543	2
544	3
545	1
546	2
547	2
548	2
549	2
550	2
551	2
552	4
553	2
554	2
555	2
556	2
557	2
558	2
559	2
560	2
561	2
562	2
563	2
564	2
565	2
566	2
567	2
568	2
569	2
570	3
571	2
572	4
573	2
574	2
575	2
576	2
577	2
578	4
579	2
580	2
581	2
582	2
583	2
584	4
585	1
586	1
587	2
588	2
589	2
590	2
591	2
592	2
593	2
594	2
595	2
596	2
597	2
598	2
599	2
600	2
601	2
602	2
603	1
604	2
605	4
606	2
607	3
608	4
609	2
610	2
611	2
612	2
613	2
614	2
615	2
616	2
617	2
618	4
619	2
620	2
621	2
622	2
623	2
624	2
625	2
626	2
627	2
628	2
629	2
630	2
631	2
632	2
633	2
634	2
635	2
636	2
637	2
638	2
639	2
640	2
641	2
642	2
643	2
644	2
645	2
646	2
647	2
648	2
649	2
650	2
651	2
652	2
653	2
654	2
655	4
656	2
657	2
658	2
659	2
660	2
661	2
662	2
663	1
664	2
665	2
666	2
667	2
668	4
669	2
670	1
671	1
672	2
673	2
674	2
675	3
676	2
677	4
678	2
679	2
680	2
681	1
682	2
683	2
684	2
685	2
686	2
687	2
688	2
689	1
690	1
691	2
692	2
693	2
694	2
695	2
696	2
697	2
698	2
699	3
700	3
701	4
702	1
703	2
704	2
705	2
706	3
707	4
708	2
709	2
710	2
711	2
712	4
713	1
714	1
715	3
716	4
717	2
718	2
719	2
720	2
721	2
722	2
723	2
724	2
725	2
726	2
727	2
728	2
729	2
730	2
731	2
732	2
733	2
734	1
735	1
736	2
737	2
738	1
739	2
740	2
741	2
742	2
743	2
744	2
745	2
746	3
747	2
748	2
749	2
750	2
751	2
752	3
753	2
754	2
755	2
756	2
757	2
758	2
759	2
760	2
761	4
762	2
763	2
764	2
765	2
766	2
767	2
768	2
769	2
770	1
771	1
772	2
773	2
774	2
775	2
776	3
777	3
778	2
779	2
780	2
781	2
782	2
783	2
784	2
785	4
786	2
787	2
788	2
789	4
790	1
791	1
792	2
793	4
794	2
795	2
796	2
797	4
798	4
799	2
800	2
801	2
802	2
803	2
804	2
805	2
806	2
807	2
808	2
809	2
810	2
811	2
812	2
813	2
814	2
815	2
816	2
817	2
818	2
819	2
820	2
821	2
822	2
823	4
824	2
825	1
826	2
827	2
828	2
829	2
830	4
831	2
832	2
833	4
834	3
835	3
836	2
837	2
838	4
839	2
840	2
841	2
842	2
843	2
844	2
845	2
846	2
847	2
848	2
849	2
850	2
851	2
852	2
853	2
854	1
855	2
856	2
857	2
858	2
859	4
860	2
861	2
862	2
863	2
864	2
865	2
866	2
867	2
868	2
869	2
870	2
871	2
872	2
873	2
874	3
875	2
876	2
877	2
878	1
879	2
880	2
881	4
882	4
883	2
884	2
885	2
886	2
887	4
888	2
889	2
890	3
891	3
892	2
893	2
894	4
895	2
896	2
897	2
898	2
899	2
900	3
901	4
902	2
903	2
904	2
905	2
906	1
907	1
908	2
909	2
910	2
911	2
912	2
913	2
914	2
915	2
916	2
917	2
918	2
919	2
920	4
921	2
922	2
923	1
924	2
925	2
926	2
927	2
928	2
929	2
930	2
931	2
932	4
933	2
934	2
935	2
936	2
937	2
938	2
939	2
940	2
941	2
942	2
943	2
944	2
