nodenum	simstate
1	22
2	6
3	15
4	6
5	6
6	50
7	107
8	127
9	17
10	3
11	3
12	3
13	114
14	3
15	3
16	106
17	3
18	15
19	9
20	34
21	3
22	3
23	3
24	68
25	36
26	3
27	3
28	3
29	6
30	6
31	6
32	6
33	6
34	27
35	9
36	10
37	6
38	45
39	101
40	16
41	3
42	4
43	3
44	15
45	3
46	3
47	52
48	128
49	115
50	46
51	13
52	126
53	3
54	105
55	17
56	6
57	6
58	21
59	9
60	6
61	3
62	6
63	6
64	36
65	12
66	39
67	128
68	3
69	3
70	67
71	68
72	3
73	3
74	3
75	3
76	100
77	3
78	3
79	3
80	16
81	6
82	28
83	3
84	6
85	6
86	6
87	6
88	6
89	16
90	15
91	122
92	16
93	4
94	95
95	92
96	72
97	3
98	3
99	122
