nodenum	simstate
1	22
2	46
3	106
4	3
5	6
6	3
7	15
8	115
9	101
10	128
11	45
12	4
13	127
14	3
15	9
16	34
17	50
18	107
19	114
20	3
21	3
22	9
23	68
24	36
25	3
26	15
27	6
28	15
29	10
30	6
31	6
32	6
33	3
34	52
35	6
36	6
37	6
38	6
39	27
40	17
41	3
42	3
43	3
44	3
45	3
46	16
47	3
48	3
49	3
50	3
51	3
52	13
53	126
54	3
55	105
56	3
57	3
58	15
59	122
60	72
61	67
62	68
63	17
64	6
65	128
66	3
67	6
68	16
69	92
70	3
71	3
72	3
73	4
74	122
75	3
76	21
77	6
78	95
79	6
80	36
81	12
82	3
83	3
84	100
85	9
86	3
87	3
88	16
89	39
90	3
91	16
92	6
93	28
94	6
95	6
96	6
97	3
98	3
99	6
100	6
101	6
