event	i	j	k	pair	wt	prob	rate	val	rates_t
y	2	2	2	1	1.0	1.0	0.2314640053959261	0.2314640053959261	0.2314640053959261
y	3	3	3	1	1.0	1.0	0.2314640053959261	0.2314640053959261	0.2314640053959261
y	4	4	4	1	1.0	1.0	0.2314640053959261	0.2314640053959261	0.2314640053959261
v	5	3	2	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	689524.4272744408
s	5	5	2	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
s	5	5	3	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
v	6	4	2	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	689524.4272744408
s	6	6	2	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
s	6	6	4	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
v	7	4	3	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	689524.4272744408
s	7	7	3	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
s	7	7	4	2	2.0	0.3333333333333333	0.07715466846530869	0.07715466846530869	0.07715466846530869
v	8	5	4	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	344762.2136372204
v	8	6	3	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	344762.2136372204
v	8	7	2	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	344762.2136372204
s	8	8	2	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	0.038577334232654345
s	8	8	3	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	0.038577334232654345
s	8	8	4	2	2.0	0.16666666666666666	0.038577334232654345	0.038577334232654345	0.038577334232654345
