event	i	j	val	vals_t
d	2	5	0.008477626269435273	0.008477626269435273
d	2	6	0.008477626269435273	0.008477626269435273
d	3	5	0.008477626269435273	0.008477626269435273
d	3	7	0.008477626269435273	0.008477626269435273
d	4	6	0.008477626269435273	0.008477626269435273
d	4	7	0.008477626269435273	0.008477626269435273
d	5	8	0.016955252538870546	0.016955252538870546
d	6	8	0.016955252538870546	0.016955252538870546
d	7	8	0.016955252538870546	0.016955252538870546
e	2	1	0.0012738410831970842	0.0012738410831970842
e	3	1	0.0012738410831970842	0.0012738410831970842
e	4	1	0.0012738410831970842	0.0012738410831970842
e	5	2	0.0012738410831970842	0.0012738410831970842
e	5	3	0.0012738410831970842	0.0012738410831970842
e	6	2	0.0012738410831970842	0.0012738410831970842
e	6	4	0.0012738410831970842	0.0012738410831970842
e	7	3	0.0012738410831970842	0.0012738410831970842
e	7	4	0.0012738410831970842	0.0012738410831970842
e	8	5	0.0012738410831970842	0.0012738410831970842
e	8	6	0.0012738410831970842	0.0012738410831970842
e	8	7	0.0012738410831970842	0.0012738410831970842
