genus,species,lowland,mountain,sexual_system,sexual_system_binary,single_variable,range_single_variable,sexual_system_source
Veronica,adamsii,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,albicans,1,1,H,H,3,3,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,amplexicaulis,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,annulata,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,arganthera,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,armstrongii,1,1,H,H,3,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,barkeri,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,baylyi,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,benthamii,1,1,H,H,3,3,Garnock-Jones 2023
Veronica,biggarii,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,bishopiana,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,bollonsii,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,brachysiphon,0,1,GD,D,5,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,breviracemosa,1,0,H,H,1,1,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,buchananii,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,calcicola,0,1,H,H,2,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,canterburiensis,0,1,H,H,2,2,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,catarractae,1,1,H,H,3,3,"Garnock Jones 1976, Garnock-Jones 2023"
Veronica,chathamica,1,0,H,H,1,1,"Delph 1990, Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,chionohebe,0,1,D,D,5,2,Garnock-Jones 2023
Veronica,ciliolata,0,1,D,D,5,2,"Delph 1990 (G or GD), Garnock-Jones 2023 (D)"
Veronica,cockayneana,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,colensoi,1,1,GD,D,6,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,colostylis,0,1,H,H,2,2,"Garnock Jones 1976, Garnock-Jones 2023"
Veronica,corriganii,1,1,H,H,3,3,"Bayly and Kellow 2006, Garnock-Jones 2023"
Veronica,cryptomorpha,0,1,GD,D,5,2,"Bayly and Kellow 2006, Garnock-Jones 2023"
