d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-3.895732316150303	-2.9957322735539913	-6.891464589704294
0.0	0.0	0.0	0.3	0.0	0.5	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-4.806333845714578	-2.9957322735539913	-7.802066119268569
0.0	0.0	0.0	0.3	0.0	1.0	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-5.924945222927605	-2.9957322735539913	-8.920677496481597
0.0	0.0	0.0	0.3	0.0	1.5	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-7.176077818158535	-2.9957322735539913	-10.171810091712526
0.0	0.0	0.0	0.3	0.0	2.0	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-8.508800020293567	-2.9957322735539913	-11.504532293847557
0.0	0.0	0.0	0.3	0.5	0.0	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-4.581589742607027	-3.0866793217859914	-7.668269064393018
0.0	0.0	0.0	0.3	0.5	0.5	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-5.471539327081881	-3.1055852170296925	-8.577124544111573
0.0	0.0	0.0	0.3	0.5	1.0	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-6.552506279912976	-3.139792436583188	-9.692298716496165
0.0	0.0	0.0	0.3	0.5	1.5	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-7.739811314436414	-3.198194531238036	-10.93800584567445
0.0	0.0	0.0	0.3	0.5	2.0	-9.594004398367485	-3.296359228776706	-12.89036362714419	-9.594004398367485	-3.296359228776706	-12.89036362714419	-8.966547557159483	-3.296359485036463	-12.262907042195947
