d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-7.823908383124682	-3.266334842319736	-11.090243225444418
0.0	0.0	0.0	0.3	0.0	0.5	-5.414328841925112	-2.9957322735539913	-8.410061115479103	-5.414328841925112	-2.9957322735539913	-8.410061115479103	-7.819939630114538	-3.4323540469008798	-11.252293677015418
0.0	0.0	0.0	0.3	0.0	1.0	-6.53939528538337	-2.9957322735539913	-9.535127558937361	-6.53939528538337	-2.9957322735539913	-9.535127558937361	-8.04394580324302	-3.4978187091668733	-11.541764512409893
0.0	0.0	0.0	0.3	0.5	0.0	-5.188621703414544	-3.086673863419841	-8.275295566834385	-5.188621703414544	-3.086673863419841	-8.275295566834385	-6.948897754478029	-3.2896906347111687	-10.238588389189198
0.0	0.0	0.0	0.3	0.5	0.5	-6.085580462218729	-3.1055839442293567	-9.191164406448086	-6.085580462218729	-3.1055839442293567	-9.191164406448086	-6.856010995337616	-3.3837595195753374	-10.239770514912953
0.0	0.0	0.0	0.3	0.5	1.0	-7.17212492779608	-3.139793913759647	-10.311918841555727	-7.17212492779608	-3.139793913759647	-10.311918841555727	-7.193698670896238	-3.433058911956119	-10.626757582852356
0.0	0.0	0.0	0.3	1.0	0.0	-6.029589373401455	-3.1023949007580196	-9.131984274159475	-6.029589373401455	-3.1023949007580196	-9.131984274159475	-6.801237942371397	-3.1257746656695486	-9.927012608040947
0.0	0.0	0.0	0.3	1.0	0.5	-6.92541777634641	-3.1216719370103894	-10.0470897133568	-6.92541777634641	-3.1216719370103894	-10.0470897133568	-6.752583951349424	-3.27179790077253	-10.024381852121953
0.0	0.0	0.0	0.3	1.0	1.0	-8.010606274546078	-3.155927759362575	-11.166534033908652	-8.010606274546078	-3.155927759362575	-11.166534033908652	-7.226741607875083	-3.394182768321619	-10.620924376196703
0.0	0.0	0.1	0.3	0.0	0.0	-3.7884111647764294	-2.894811493313907	-6.683222658090337	-3.7884111647764294	-2.894811493313907	-6.683222658090337	-7.577510667513666	-3.277022647574215	-10.854533315087881
0.0	0.0	0.1	0.3	0.0	0.5	-4.841991776397267	-3.0242986798629796	-7.866290456260247	-4.841991776397267	-3.0242986798629796	-7.866290456260247	-7.6535332100076925	-3.4333109445910077	-11.086844154598701
0.0	0.0	0.1	0.3	0.0	1.0	-6.088563316624023	-3.178476927829433	-9.267040244453456	-6.088563316624023	-3.178476927829433	-9.267040244453456	-7.931417362707978	-3.484558791698301	-11.415976154406279
0.0	0.0	0.1	0.3	0.5	0.0	-4.216493486070407	-2.832309826882073	-7.048803312952479	-4.216493486070407	-2.832309826882073	-7.048803312952479	-6.751656472183212	-3.283445037535278	-10.03510150971849
0.0	0.0	0.1	0.3	0.5	0.5	-5.242305794149681	-2.994410269961376	-8.236716064111057	-5.242305794149681	-2.994410269961376	-8.236716064111057	-6.74593083829849	-3.3837329143349257	-10.129663752633416
0.0	0.0	0.1	0.3	0.5	1.0	-6.450786263194057	-3.2156302480597465	-9.666416511253804	-6.450786263194057	-3.2156302480597465	-9.666416511253804	-7.119139181937079	-3.430867787906035	-10.550006969843114
0.0	0.0	0.1	0.3	1.0	0.0	-4.81973305483093	-2.6239211705264274	-7.443654225357358	-4.81973305483093	-2.6239211705264274	-7.443654225357358	-6.640990997584767	-3.1588730353308	-9.799864032915567
0.0	0.0	0.1	0.3	1.0	0.5	-5.8548469200446345	-2.787187354144134	-8.642034274188768	-5.8548469200446345	-2.787187354144134	-8.642034274188768	-6.672125190773299	-3.295125914204665	-9.967251104977963
