d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-3.8957322734428663	-2.9957322735539913	-6.891464546996858
0.0	0.0	0.0	0.3	0.0	0.5	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-4.806333996919644	-2.9957322735539913	-7.802066270473635
0.0	0.0	0.0	0.3	0.0	1.0	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-5.92494535353948	-2.9957322735539913	-8.920677627093472
0.0	0.0	0.0	0.3	0.0	1.5	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-7.1760780703351355	-2.9957322735539913	-10.171810343889128
0.0	0.0	0.0	0.3	0.0	2.0	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-8.508800365001111	-2.9957322735539913	-11.504532638555101
0.0	0.0	0.0	0.3	0.5	0.0	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-4.581589790071236	-3.0866793245567767	-7.668269114628012
0.0	0.0	0.0	0.3	0.5	0.5	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-5.47153922551928	-3.105585219898473	-8.577124445417752
0.0	0.0	0.0	0.3	0.5	1.0	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-6.552506354752066	-3.1397924371477526	-9.69229879189982
0.0	0.0	0.0	0.3	0.5	1.5	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-7.7398114141688	-3.198194549906665	-10.938005964075465
0.0	0.0	0.0	0.3	0.5	2.0	-9.594004398367485	-3.296359228776706	-12.89036362714419	-9.594004398367485	-3.296359228776706	-12.89036362714419	-8.966548112078438	-3.2963595196965514	-12.26290763177499
0.0	0.0	0.0	0.3	1.0	0.0	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	-5.417780317664883	-3.1023988834362934	-8.520179201101177
0.0	0.0	0.0	0.3	1.0	0.5	-6.9253729050311	-3.121678230061308	-10.047051135092408	-6.9253729050311	-3.121678230061308	-10.047051135092408	-6.307210927532177	-3.121678265501977	-9.428889193034154
0.0	0.0	0.0	0.3	1.0	1.0	-8.01049627457606	-3.155927357795854	-11.166423632371913	-8.01049627457606	-3.155927357795854	-11.166423632371913	-7.387291028492744	-3.155927427850809	-10.543218456343553
0.0	0.0	0.0	0.3	1.0	1.5	-9.201531791093029	-3.2129742426780954	-12.414506033771124	-9.201531791093029	-3.2129742426780954	-12.414506033771124	-8.574383809683546	-3.2129743619489846	-11.78735817163253
0.0	0.0	0.0	0.3	1.0	2.0	-10.433465533482451	-3.306570667468353	-13.740036200950804	-10.433465533482451	-3.306570667468353	-13.740036200950804	-9.803284662020726	-3.3065709758240045	-13.109855637844731
0.0	0.0	0.0	0.3	1.5	0.0	-6.940683020097556	-3.094706885643237	-10.035389905740793	-6.940683020097556	-3.094706885643237	-10.035389905740793	-6.325496443179474	-3.0947069027619567	-9.420203345941431
0.0	0.0	0.0	0.3	1.5	0.5	-7.840435779136964	-3.1102619917344447	-10.95069777087141	-7.840435779136964	-3.1102619917344447	-10.95069777087141	-7.219196099089496	-3.1102620382605006	-10.329458137349997
0.0	0.0	0.0	0.3	1.5	1.0	-8.932617887761532	-3.1374982493212475	-12.07011613708278	-8.932617887761532	-3.1374982493212475	-12.07011613708278	-8.30663014840453	-3.137498343452166	-11.444128491856695
0.0	0.0	0.0	0.3	1.5	1.5	-10.136075518455147	-3.1820302702931476	-13.318105788748294	-10.136075518455147	-3.1820302702931476	-13.318105788748294	-9.506398354839977	-3.18203043244647	-12.688428787286448
0.0	0.0	0.0	0.3	1.5	2.0	-11.389401433606348	-3.2540730361532115	-14.64347446975956	-11.389401433606348	-3.2540730361532115	-14.64347446975956	-10.75691369004216	-3.2540734137042606	-14.01098710374642
0.0	0.0	0.0	0.3	2.0	0.0	-7.8872262738022245	-3.0817286859092423	-10.968954959711468	-7.8872262738022245	-3.0817286859092423	-10.968954959711468	-7.269376076216034	-3.0817287353914207	-10.351104811607454
0.0	0.0	0.0	0.3	2.0	0.5	-8.791460200127533	-3.0934004311225265	-11.88486063125006	-8.791460200127533	-3.0934004311225265	-11.88486063125006	-8.167771355456065	-3.093400509357698	-11.261171864813763
0.0	0.0	0.0	0.3	2.0	1.0	-9.89141973715788	-3.1135234257311213	-13.004943162889003	-9.89141973715788	-3.1135234257311213	-13.004943162889003	-9.263154936510585	-3.113523546662279	-12.376678483172864
0.0	0.0	0.0	0.3	2.0	1.5	-11.10800453997266	-3.145734971686737	-14.253739511659397	-11.10800453997266	-3.145734971686737	-14.253739511659397	-10.476187088130363	-3.1457352385184043	-13.621922326648768
0.0	0.0	0.0	0.3	2.0	2.0	-12.3832108149607	-3.1969047202912875	-15.580115535251988	-12.3832108149607	-3.1969047202912875	-15.580115535251988	-11.74868913898868	-3.196905238893304	-14.945594377881985
0.0	0.0	0.01	0.3	0.0	0.0	-4.384161570640085	-3.2343983668281733	-7.618559937468259	-4.384161570640085	-3.2343983668281733	-7.618559937468259	-3.841262550825216	-3.236966467892294	-7.07822901871751
0.0	0.0	0.01	0.3	0.0	0.5	-5.322462622690812	-3.212809812262513	-8.535272434953324	-5.322462622690812	-3.212809812262513	-8.535272434953324	-4.770297487276665	-3.2187080900889513	-7.9890055773656155
0.0	0.0	0.01	0.3	0.0	1.0	-6.467392923710114	-3.1718363920746477	-9.639229315784762	-6.467392923710114	-3.1718363920746477	-9.639229315784762	-5.909168120962576	-3.178379551888874	-9.08754767285145
0.0	0.0	0.01	0.3	0.0	1.5	-7.739422705116205	-3.1248404044383493	-10.864263109554553	-7.739422705116205	-3.1248404044383493	-10.864263109554553	-7.176732196462268	-3.1294408513538015	-10.30617304781607
0.0	0.0	0.01	0.3	0.0	2.0	-9.087388699351239	-3.084179020646965	-12.171567719998205	-9.087388699351239	-3.084179020646965	-12.171567719998205	-8.521057807649514	-3.0860838971007003	-11.607141704750214
0.0	0.0	0.01	0.3	0.5	0.0	-5.021072609104738	-3.3390750520544024	-8.360147661159141	-5.021072609104738	-3.3390750520544024	-8.360147661159141	-4.483377965954459	-3.340879011005484	-7.824256976959942
0.0	0.0	0.01	0.3	0.5	0.5	-5.939550605226263	-3.3473724621514904	-9.286923067377753	-5.939550605226263	-3.3473724621514904	-9.286923067377753	-5.39313517055564	-3.353499116426025	-8.746634286981665
0.0	0.0	0.01	0.3	0.5	1.0	-7.0499533856283225	-3.3463474302534664	-10.396300815881789	-7.0499533856283225	-3.3463474302534664	-10.396300815881789	-6.499965080701563	-3.357802774615601	-9.857767855317164
0.0	0.0	0.01	0.3	0.5	1.5	-8.259867433489749	-3.3499057227206843	-11.609773156210434	-8.259867433489749	-3.3499057227206843	-11.609773156210434	-7.709186525630104	-3.363175757645915	-11.072362283276018
0.0	0.0	0.01	0.3	0.5	2.0	-9.500276860432969	-3.389942452243873	-12.890219312676841	-9.500276860432969	-3.389942452243873	-12.890219312676841	-8.951062758909478	-3.403815408343485	-12.354878167252963
0.0	0.0	0.01	0.3	1.0	0.0	-5.801326190916459	-3.324817257503941	-9.1261434484204	-5.801326190916459	-3.324817257503941	-9.1261434484204	-5.264781884952933	-3.317551057123964	-8.582332942076897
0.0	0.0	0.01	0.3	1.0	0.5	-6.723029704357983	-3.3619228307958537	-10.084952535153837	-6.723029704357983	-3.3619228307958537	-10.084952535153837	-6.176318208457365	-3.3550006706743494	-9.531318879131714
0.0	0.0	0.01	0.3	1.0	1.0	-7.841332496487259	-3.395732303025006	-11.237064799512265	-7.841332496487259	-3.395732303025006	-11.237064799512265	-7.29223246889015	-3.401815199808656	-10.694047668698806
0.0	0.0	0.01	0.3	1.0	1.5	-9.059510253502534	-3.4105013316034705	-12.470011585106004	-9.059510253502534	-3.4105013316034705	-12.470011585106004	-8.511739909472999	-3.4264127548726178	-11.938152664345616
0.0	0.0	0.01	0.3	1.0	2.0	-10.308170662514097	-3.4385470314285467	-13.746717693942644	-10.308170662514097	-3.4385470314285467	-13.746717693942644	-9.76393370836789	-3.4583406928576976	-13.222274401225588
0.0	0.0	0.01	0.3	1.5	0.0	-6.635339230244023	-3.1811617615875685	-9.816500991831592	-6.635339230244023	-3.1811617615875685	-9.816500991831592	-6.096327971189119	-3.159038001250215	-9.255365972439334
0.0	0.0	0.01	0.3	1.5	0.5	-7.566541356247404	-3.25300883868854	-10.819550194935944	-7.566541356247404	-3.25300883868854	-10.819550194935944	-7.013288831969467	-3.2153058150425298	-10.228594647011997
0.0	0.0	0.01	0.3	1.5	1.0	-8.706760261702554	-3.357115628176524	-12.063875889879078	-8.706760261702554	-3.357115628176524	-12.063875889879078	-8.1517179401621	-3.3369685365336417	-11.488686476695742
0.0	0.0	0.01	0.3	1.5	1.5	-9.952796972184675	-3.419117873666645	-13.37191484585132	-9.952796972184675	-3.419117873666645	-13.37191484585132	-9.401040219659045	-3.424008202399185	-12.82504842205823
0.0	0.0	0.01	0.3	1.5	2.0	-11.235182871496898	-3.444994619277889	-14.680177490774787	-11.235182871496898	-3.444994619277889	-14.680177490774787	-10.688664606571319	-3.4641172289815145	-14.152781835552833
0.0	0.0	0.01	0.3	2.0	0.0	-7.474412243520567	-2.9066276251923484	-10.381039868712916	-7.474412243520567	-2.9066276251923484	-10.381039868712916	-6.930437460306238	-2.8737228963835695	-9.804160356689808
0.0	0.0	0.01	0.3	2.0	0.5	-8.414844331317225	-2.9938365689536175	-11.408680900270841	-8.414844331317225	-2.9938365689536175	-11.408680900270841	-7.848242090676212	-2.920542188283962	-10.768784278960174
0.0	0.0	0.01	0.3	2.0	1.0	-9.584115630809073	-3.1799248957711597	-12.764040526580233	-9.584115630809073	-3.1799248957711597	-12.764040526580233	-9.015782274052148	-3.113036978026407	-12.128819252078555
0.0	0.0	0.01	0.3	2.0	1.5	-10.867264331540616	-3.347293095158606	-14.214557426699223	-10.867264331540616	-3.347293095158606	-14.214557426699223	-10.305011702221977	-3.315217743811705	-13.620229446033683
0.0	0.0	0.01	0.3	2.0	2.0	-12.191599709214856	-3.4317634826855157	-15.62336319190037	-12.191599709214856	-3.4317634826855157	-15.62336319190037	-11.637231047025924	-3.435366162063295	-15.072597209089219
0.0	0.0	0.05	0.3	0.0	0.0	-4.0549990243538145	-3.091684542000055	-7.14668356635387	-4.0549990243538145	-3.091684542000055	-7.14668356635387	-3.6685592326653405	-3.0153157496918785	-6.683874982357219
0.0	0.0	0.05	0.3	0.0	0.5	-5.053924941643323	-3.176517746840114	-8.230442688483436	-5.053924941643323	-3.176517746840114	-8.230442688483436	-4.661491394794751	-3.1108604595401066	-7.7723518543348575
0.0	0.0	0.05	0.3	0.0	1.0	-6.255416580182027	-3.2619896631547256	-9.517406243336753	-6.255416580182027	-3.2619896631547256	-9.517406243336753	-5.863761225341842	-3.226153892812826	-9.089915118154668
0.0	0.0	0.05	0.3	0.0	1.5	-7.571381012684781	-3.2899028744446874	-10.861283887129469	-7.571381012684781	-3.2899028744446874	-10.861283887129469	-7.181971065155066	-3.278526665192615	-10.460497730347681
0.0	0.0	0.05	0.3	0.0	2.0	-8.950239903759563	-3.2657829223665185	-12.216022826126082	-8.950239903759563	-3.2657829223665185	-12.216022826126082	-8.562365402137221	-3.260070279740971	-11.822435681878192
0.0	0.0	0.05	0.3	0.5	0.0	-4.562754518347262	-3.016136132300451	-7.578890650647713	-4.562754518347262	-3.016136132300451	-7.578890650647713	-4.192049560052648	-2.8999982960829804	-7.092047856135628
0.0	0.0	0.05	0.3	0.5	0.5	-5.539920611691752	-3.145449452459186	-8.685370064150938	-5.539920611691752	-3.145449452459186	-8.685370064150938	-5.166242032376137	-3.0306034155380313	-8.196845447914168
0.0	0.0	0.05	0.3	0.5	1.0	-6.708576501148748	-3.316335110390828	-10.024911611539576	-6.708576501148748	-3.316335110390828	-10.024911611539576	-6.345499235626102	-3.2345790856598216	-9.580078321285924
0.0	0.0	0.05	0.3	0.5	1.5	-7.960883565285838	-3.4476888622750383	-11.408572427560877	-7.960883565285838	-3.4476888622750383	-11.408572427560877	-7.61499591645952	-3.41158246106953	-11.02657837752905
0.0	0.0	0.05	0.3	0.5	2.0	-9.222710084970894	-3.529904564996657	-12.752614649967551	-9.222710084970894	-3.529904564996657	-12.752614649967551	-8.898666804209855	-3.523367123277086	-12.42203392748694
0.0	0.0	0.05	0.3	1.0	0.0	-5.226034659173152	-2.78962389907805	-8.015658558251202	-5.226034659173152	-2.78962389907805	-8.015658558251202	-4.849153968896465	-2.650769159850086	-7.49992312874655
0.0	0.0	0.05	0.3	1.0	0.5	-6.210970642360685	-2.935032533768958	-9.146003176129643	-6.210970642360685	-2.935032533768958	-9.146003176129643	-5.828376057990863	-2.779821575190093	-8.608197633180957
0.0	0.0	0.05	0.3	1.0	1.0	-7.400192291388423	-3.1665741924931115	-10.566766483881535	-7.400192291388423	-3.1665741924931115	-10.566766483881535	-7.032386608332211	-3.026786800897487	-10.059173409229698
0.0	0.0	0.05	0.3	1.0	1.5	-8.675017963314492	-3.387209273779705	-12.062227237094197	-8.675017963314492	-3.387209273779705	-12.062227237094197	-8.331440892577984	-3.2971674513964406	-11.628608343974424
0.0	0.0	0.05	0.3	1.0	2.0	-9.957102575039992	-3.534727772243832	-13.491830347283823	-9.957102575039992	-3.534727772243832	-13.491830347283823	-9.642737363234374	-3.503156901452232	-13.145894264686607
0.0	0.0	0.05	0.3	1.5	0.0	-5.935951444610023	-2.495845601554964	-8.431797046164988	-5.935951444610023	-2.495845601554964	-8.431797046164988	-5.539649602692542	-2.3609352766386276	-7.90058487933117
0.0	0.0	0.05	0.3	1.5	0.5	-6.935821067114981	-2.6281200114642433	-9.563941078579225	-6.935821067114981	-2.6281200114642433	-9.563941078579225	-6.52544630963612	-2.4627031518589813	-8.988149461495102
0.0	0.0	0.05	0.3	1.5	1.0	-8.164113630042323	-2.879869192510505	-11.043982822552827	-8.164113630042323	-2.879869192510505	-11.043982822552827	-7.769388686161241	-2.702419680662329	-10.47180836682357
0.0	0.0	0.05	0.3	1.5	1.5	-9.488856188096456	-3.177217677004128	-12.666073865100584	-9.488856188096456	-3.177217677004128	-12.666073865100584	-9.123246676157319	-3.0210077058655793	-12.144254382022897
0.0	0.0	0.05	0.3	1.5	2.0	-10.826170059001184	-3.4268579044636103	-14.253027963464794	-10.826170059001184	-3.4268579044636103	-14.253027963464794	-10.495120181558107	-3.332133666682131	-13.827253848240238
0.0	0.0	0.05	0.3	2.0	0.0	-6.6362641164754645	-2.206083743550852	-8.842347860026317	-6.6362641164754645	-2.206083743550852	-8.842347860026317	-6.214882572947232	-2.093555931620482	-8.308438504567714
0.0	0.0	0.05	0.3	2.0	0.5	-7.6473124131946255	-2.305943292961743	-9.95325570615637	-7.6473124131946255	-2.305943292961743	-9.95325570615637	-7.19708533683883	-2.1585090238888256	-9.355594360727656
0.0	0.0	0.05	0.3	2.0	1.0	-8.920742322666559	-2.5310108561412568	-11.451753178807817	-8.920742322666559	-2.5310108561412568	-11.451753178807817	-8.483391705789114	-2.354439608885795	-10.837831314674908
0.0	0.0	0.05	0.3	2.0	1.5	-10.307854588334536	-2.8454463475583345	-13.15330093589287	-10.307854588334536	-2.8454463475583345	-13.15330093589287	-9.902754440042628	-2.654231977728307	-12.556986417770934
0.0	0.0	0.05	0.3	2.0	2.0	-11.715445881809037	-3.1835940727366387	-14.899039954545676	-11.715445881809037	-3.1835940727366387	-14.899039954545676	-11.350191333220202	-3.0161231854528476	-14.36631451867305
0.0	0.0	0.1	0.3	0.0	0.0	-3.7884004557417357	-2.894811493313907	-6.683211949055643	-3.7884004557417357	-2.894811493313907	-6.683211949055643	-3.517283757803839	-2.7578773473162173	-6.275161105120056
0.0	0.0	0.1	0.3	0.0	0.5	-4.841975246009341	-3.0243245867443265	-7.866299832753667	-4.841975246009341	-3.0243245867443265	-7.866299832753667	-4.573238244621838	-2.900038432923258	-7.473276677545096
0.0	0.0	0.1	0.3	0.0	1.0	-6.088540673949799	-3.178512554389521	-9.26705322833932	-6.088540673949799	-3.178512554389521	-9.26705322833932	-5.829696489114877	-3.0925619641134214	-8.922258453228299
