d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6
0.0	0.0	0.0	0.3	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-3.2726050256557784	-4.495720874252926	-2.9957322735539913	-7.491453147806918	-3.2725773229387167
0.0	0.0	0.0	0.3	0.5	-6.238354706440505	-3.105583944229357	-9.343938650669863	-5.1250628258016615	-6.238391423002841	-3.105584709387841	-9.343976132390681	-5.12510030752248
0.0	0.0	0.0	0.3	1.0	-8.272524335358284	-3.1559277593625747	-11.428452094720859	-7.209576269852659	-8.272383112342451	-3.1559274521378966	-11.428310564480348	-7.209434739612148
0.0	0.0	0.1	0.3	0.0	-4.495748576969989	-2.9957322735539913	-7.49148085052398	-3.2726050256557793	-4.495720874252928	-2.9957322735539913	-7.4914531478069195	-3.2725773229387185
0.0	0.0	0.1	0.3	0.5	-6.238338697788455	-3.1055854137787473	-9.343924111567203	-5.125048286699002	-6.238391143627082	-3.105584310019349	-9.343975453646431	-5.12509962877823
0.0	0.0	0.1	0.3	1.0	-8.272571570783473	-3.1559248718346264	-11.4284964426181	-7.209620617749899	-8.272624691920715	-3.155924789585528	-11.428549481506243	-7.209673656638043
0.0	0.0	1.0	0.3	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-3.2726050256557784	-4.495720874252926	-2.9957322735539913	-7.491453147806918	-3.2725773229387167
0.0	0.0	1.0	0.3	0.5	-6.238343025508123	-3.10558415806776	-9.343927183575882	-5.125051358707681	-6.2383700768384625	-3.105586051966977	-9.34395612880544	-5.125080303937239
0.0	0.0	1.0	0.3	1.0	-8.272444338546277	-3.155927805831631	-11.428372144377908	-7.209496319509708	-8.272401740098571	-3.1559290915508065	-11.428330831649378	-7.209455006781178
0.0	0.5	0.0	0.3	0.0	-6.136320047809255	-3.3550416558641487	-9.491361703673403	-5.2724858788052025	-6.1365028928500855	-3.3550401072073766	-9.491543000057462	-5.272667175189261
