d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6	Julia_sum_lq_GFv6a	rootstates_lnL_GFv6a	Julia_total_lnLs1_GFv6a	bgb_lnl_GFv6a
0.0001	0.0	0.0	0.3	0.0	-75.87658145162438	-11.641529158074338	-87.51811060969871	-50.48478390025918	-75.87612663080469	-11.641317099539535	-87.51744373034423	-50.48414739614008	-75.87335788146997	-11.641883604130383	-87.51524148560036	-50.48191795955544
0.0001	0.0	0.0	0.3	0.5	-88.81426585627625	-11.42618809936208	-100.24045395563833	-63.18717952523324	-88.81525361213747	-11.425944203770694	-100.24119781590817	-63.18792046153107	-89.04096340339295	-11.602328979698164	-100.64329238309111	-63.5773474146956
0.0001	0.0	0.0	0.3	1.0	-108.28914901421314	-11.306885140100404	-119.59603415431354	-82.53073327057274	-108.28786306143454	-11.307796905945192	-119.59565996737973	-82.53037200467742	-108.57023100548956	-11.431872378113445	-120.002103383603	-82.91593173933447
0.0001	0.0	0.1	0.3	0.0	-75.87658145162436	-11.641529158074404	-87.51811060969877	-50.48478390025924	-75.8761266308047	-11.641317099539535	-87.51744373034424	-50.484147396140095	-75.87335788146997	-11.641883604130387	-87.51524148560036	-50.48191795955544
0.0001	0.0	0.1	0.3	0.5	-88.81426585627625	-11.426188099362072	-100.24045395563832	-63.187179525233226	-88.81525361213751	-11.425944203770694	-100.24119781590821	-63.187920461531114	-89.04096340339295	-11.602328979698163	-100.64329238309111	-63.5773474146956
0.0001	0.0	0.1	0.3	1.0	-108.28914901421324	-11.3068851401004	-119.59603415431364	-82.53073327057282	-108.2878630614345	-11.307796905945189	-119.5956599673797	-82.53037200467739	-108.57023100548957	-11.431872378113445	-120.00210338360301	-82.91593173933447
0.0001	0.0	1.0	0.3	0.0	-75.87658145162438	-11.641529158074338	-87.51811060969871	-50.48478390025918	-75.87612663080469	-11.641317099539535	-87.51744373034423	-50.48414739614008	-75.87335788146997	-11.641883604130383	-87.51524148560036	-50.48191795955544
0.0001	0.0	1.0	0.3	0.5	-88.81426585627624	-11.426188099362056	-100.24045395563829	-63.1871795252332	-88.81525361213745	-11.425944203770703	-100.24119781590815	-63.18792046153107	-89.04096340339295	-11.602328979698163	-100.64329238309111	-63.5773474146956
0.0001	0.0	1.0	0.3	1.0	-108.28914901421314	-11.3068851401004	-119.59603415431354	-82.53073327057271	-108.28786306143495	-11.307796905945025	-119.59565996737997	-82.53037200467764	-108.57023100548956	-11.431872378113445	-120.002103383603	-82.91593173933447
0.0001	0.5	0.0	0.3	0.0	-102.15121755544052	-11.650545432606153	-113.80176298804668	-76.2814525286112	-102.11345087948628	-11.642566224050933	-113.75601710353722	-76.24669896714593	-102.15233904054674	-11.6505582981002	-113.80289733864694	-76.28242493849677
0.0001	0.5	0.0	0.3	0.5	-115.97749876072946	-11.037557459190532	-127.01505621992	-89.42984688672826	-115.83862563720626	-11.002630317742014	-126.84125595494828	-89.3118634413697	-116.28520183981911	-11.399092830973547	-127.68429467079265	-90.08826191664852
0.0001	0.5	0.0	0.3	1.0	-136.0565428335174	-10.915695108768219	-146.97223794228563	-109.36246098650443	-135.3250137576976	-10.756893210440323	-146.08190696813793	-108.72405780240214	-136.39333515492615	-11.179070104518178	-147.57240525944434	-109.94816197273167
0.0001	0.5	0.1	0.3	0.0	-102.15121755544047	-11.650545432606135	-113.8017629880466	-76.28145252861114	-102.11345087948628	-11.642566224050933	-113.75601710353722	-76.24669896714593	-102.15233904054675	-11.6505582981002	-113.80289733864694	-76.2824249384968
0.0001	0.5	0.1	0.3	0.5	-115.97749876072945	-11.037557459190555	-127.01505621992	-89.42984688672826	-115.83862563720618	-11.00263031774205	-126.84125595494822	-89.31186344136967	-116.28520183981914	-11.399092830973547	-127.68429467079268	-90.08826191664855
0.0001	0.5	0.1	0.3	1.0	-136.05654283351726	-10.91569510876839	-146.97223794228563	-109.3624609865044	-135.3250137572055	-10.75689321071612	-146.08190696792164	-108.72405780185605	-136.393335154926	-11.17907010451816	-147.57240525944417	-109.9481619727315
0.0001	0.5	1.0	0.3	0.0	-102.15121755544045	-11.650545432606144	-113.80176298804659	-76.28145252861114	-102.11345087948628	-11.642566224050933	-113.75601710353722	-76.24669896714593	-102.15233904054675	-11.6505582981002	-113.80289733864694	-76.2824249384968
0.0001	0.5	1.0	0.3	0.5	-115.97749876072945	-11.03755745919054	-127.01505621991998	-89.42984688672826	-115.83862563721543	-11.002630317744469	-126.8412559549599	-89.31186344137788	-116.28520183981912	-11.399092830973547	-127.68429467079267	-90.08826191664855
0.0001	0.5	1.0	0.3	1.0	-136.05654283351737	-10.915695108768288	-146.97223794228566	-109.36246098650446	-135.32501375743726	-10.756893210416855	-146.0819069678541	-108.72405780216286	-136.3933351549261	-11.179070104518207	-147.5724052594443	-109.94816197273119
0.0001	1.0	0.0	0.3	0.0	-131.62724700257272	-10.751516877491673	-142.37876388006438	-104.02683951652043	-130.37926750744055	-10.8224674720314	-141.20173497947195	-103.6931121819191	-131.62807592272162	-10.751257093747695	-142.3793330164693	-104.02743142800972
0.0001	1.0	0.0	0.3	0.5	-145.242053417294	-9.97945467135118	-155.22150808864518	-116.81881846500696	-145.51554688368702	-10.213907694979847	-155.72945457866686	-117.13322019423359	-145.56403827401311	-10.570602336165306	-156.13464061017842	-117.75379853491387
0.0001	1.0	0.0	0.3	1.0	-165.4445693437738	-9.83467084229489	-175.27924018606868	-136.86346992354262	-165.57795008393316	-9.460656382722298	-175.03860646665547	-136.77071812763472	-165.81582536076905	-10.299175267274604	-176.11500062804365	-137.76223078215497
