downpass_t	num_iters	branch_lnL	root_lnL	ttl_LnL	BGB_lnL	setup_t	Esolve_t	Ds_1calc_t	downpass_t2	Es_alg	Ds_alg	ttl_t
0.096	8	-82.37154466862349	-5.899774304061073	-88.27131897268455	-50.39035638913797	0.004	0.001	0.018189189189189187	0.096	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.101
0.283	8	-82.43761247879955	-5.902102197718575	-88.33971467651813	-50.45729056177962	0.005	0.004	0.05748648648648649	0.283	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.292
0.569	8	-82.43693699297044	-5.9020952286384745	-88.33903222160892	-50.4566118194635	0.004	0.008	0.10656756756756756	0.569	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.581
1.115	8	-82.43693697186796	-5.902095230813862	-88.33903220268182	-50.4566118037641	0.005	0.015	0.21591891891891893	1.115	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	1.135
1.787	8	-82.43693697030837	-5.902095230796129	-88.3390322011045	-50.456611802183524	0.005	0.038	0.3726486486486487	1.787	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	1.8299999999999998
0.028	746	-82.37154466862349	-5.899774304061073	-88.27131897268455	-50.39035638913797	0.005	0.001	0.004783783783783784	0.028	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.034
0.067	2699	-82.43761247879955	-5.902102197718575	-88.33971467651813	-50.45729056177962	0.005	0.005	0.013162162162162164	0.067	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.077
0.485	6390	-82.43693699297044	-5.9020952286384745	-88.33903222160892	-50.4566118194635	0.005	0.007	0.08127027027027027	0.486	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.498
0.265	12391	-82.43693697186796	-5.902095230813862	-88.33903220268182	-50.4566118037641	0.005	0.016	0.05202702702702704	0.266	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.28700000000000003
0.365	18230	-82.43693697030837	-5.902095230796129	-88.3390322011045	-50.456611802183524	0.004	0.037	0.07478378378378377	0.366	CVODE_BDF{:Newton, :GMRES, Nothing, Nothing}(0, 0, 0, false, 10, 5, 7, 3, 10, nothing, nothing, 0)	CVODE_BDF	0.407
