event	i	j	val	vals_t
d	1	6	0.03400295146983475	0.03400295146983475
d	1	7	0.034002964232354	0.034002964232354
d	1	8	0.03400240910116231	0.03400240910116231
d	1	9	0.034	0.034
d	2	6	0.03400295146983475	0.03400295146983475
d	2	10	0.034000545167116286	0.034000545167116286
d	2	11	0.03400289764664886	0.03400289764664886
d	2	12	0.034	0.034
d	3	7	0.034002964232354	0.034002964232354
d	3	10	0.034000545167116286	0.034000545167116286
d	3	13	0.03400290833931577	0.03400290833931577
d	3	14	0.034	0.034
d	4	8	0.03400240910116231	0.03400240910116231
d	4	11	0.03400289764664886	0.03400289764664886
d	4	13	0.03400290833931577	0.03400290833931577
d	4	15	0.03400242289586466	0.03400242289586466
d	5	9	0.034	0.034
d	5	12	0.034	0.034
d	5	14	0.034	0.034
d	5	15	0.03400242289586466	0.03400242289586466
d	6	16	0.06800350939947028	0.06800350939947028
d	6	17	0.06800530674781116	0.06800530674781116
d	6	18	0.068	0.068
d	7	16	0.06800349663695104	0.06800349663695104
d	7	19	0.06800531744047808	0.06800531744047808
d	7	20	0.068	0.068
d	8	17	0.06800584911648361	0.06800584911648361
d	8	19	0.06800587257166976	0.06800587257166976
d	8	21	0.06800242289586467	0.06800242289586467
d	9	18	0.06800295146983476	0.06800295146983476
d	9	20	0.068002964232354	0.068002964232354
d	9	21	0.06800483199702698	0.06800483199702698
d	10	16	0.06800591570218875	0.06800591570218875
d	10	22	0.06800580598596462	0.06800580598596462
d	10	23	0.068	0.068
d	11	17	0.06800536057099707	0.06800536057099707
d	11	22	0.06800345350643205	0.06800345350643205
d	11	24	0.06800242289586467	0.06800242289586467
d	12	18	0.06800295146983476	0.06800295146983476
d	12	23	0.06800054516711629	0.06800054516711629
d	12	24	0.06800532054251351	0.06800532054251351
d	13	19	0.0680053733335163	0.0680053733335163
d	13	22	0.06800344281376514	0.06800344281376514
d	13	25	0.06800242289586467	0.06800242289586467
d	14	20	0.068002964232354	0.068002964232354
d	14	23	0.06800054516711629	0.06800054516711629
d	14	25	0.06800533123518043	0.06800533123518043
d	15	21	0.06800240910116231	0.06800240910116231
d	15	24	0.06800289764664885	0.06800289764664885
d	15	25	0.06800290833931577	0.06800290833931577
d	16	26	0.10200821508712693	0.10200821508712693
d	16	27	0.10200000000000001	0.10200000000000001
d	17	26	0.10200641773878605	0.10200641773878605
d	17	28	0.10200242289586467	0.10200242289586467
d	18	27	0.10200350939947028	0.10200350939947028
d	18	28	0.10200772964367583	0.10200772964367583
d	19	26	0.1020063942835999	0.1020063942835999
d	19	29	0.10200242289586467	0.10200242289586467
d	20	27	0.10200349663695105	0.10200349663695105
d	20	29	0.10200774033634274	0.10200774033634274
d	21	28	0.10200584911648361	0.10200584911648361
d	21	29	0.10200587257166976	0.10200587257166976
d	22	26	0.10200832480335106	0.10200832480335106
d	22	30	0.10200242289586467	0.10200242289586467
d	23	27	0.10200591570218875	0.10200591570218875
d	23	30	0.10200822888182928	0.10200822888182928
d	24	28	0.10200536057099707	0.10200536057099707
d	24	30	0.10200345350643206	0.10200345350643206
d	25	29	0.10200537333351631	0.10200537333351631
d	25	30	0.10200344281376514	0.10200344281376514
d	26	31	0.13600242289586467	0.13600242289586467
d	27	31	0.1360106379829916	0.1360106379829916
d	28	31	0.13600641773878605	0.13600641773878605
d	29	31	0.1360063942835999	0.1360063942835999
d	30	31	0.13600832480335107	0.13600832480335107
e	6	1	0.028	0.028
e	6	2	0.028	0.028
e	7	1	0.028	0.028
e	7	3	0.028	0.028
e	8	1	0.028	0.028
e	8	4	0.028	0.028
e	9	1	0.028	0.028
e	9	5	0.028	0.028
e	10	2	0.028	0.028
e	10	3	0.028	0.028
e	11	2	0.028	0.028
e	11	4	0.028	0.028
e	12	2	0.028	0.028
e	12	5	0.028	0.028
e	13	3	0.028	0.028
e	13	4	0.028	0.028
e	14	3	0.028	0.028
e	14	5	0.028	0.028
e	15	4	0.028	0.028
e	15	5	0.028	0.028
e	16	6	0.028	0.028
e	16	7	0.028	0.028
e	16	10	0.028	0.028
e	17	6	0.028	0.028
e	17	8	0.028	0.028
e	17	11	0.028	0.028
e	18	6	0.028	0.028
e	18	9	0.028	0.028
e	18	12	0.028	0.028
e	19	7	0.028	0.028
e	19	8	0.028	0.028
e	19	13	0.028	0.028
e	20	7	0.028	0.028
e	20	9	0.028	0.028
e	20	14	0.028	0.028
e	21	8	0.028	0.028
e	21	9	0.028	0.028
e	21	15	0.028	0.028
e	22	10	0.028	0.028
e	22	11	0.028	0.028
e	22	13	0.028	0.028
e	23	10	0.028	0.028
e	23	12	0.028	0.028
e	23	14	0.028	0.028
e	24	11	0.028	0.028
e	24	12	0.028	0.028
e	24	15	0.028	0.028
e	25	13	0.028	0.028
e	25	14	0.028	0.028
e	25	15	0.028	0.028
e	26	16	0.028	0.028
e	26	17	0.028	0.028
e	26	19	0.028	0.028
e	26	22	0.028	0.028
e	27	16	0.028	0.028
e	27	18	0.028	0.028
e	27	20	0.028	0.028
e	27	23	0.028	0.028
e	28	17	0.028	0.028
e	28	18	0.028	0.028
e	28	21	0.028	0.028
e	28	24	0.028	0.028
e	29	19	0.028	0.028
e	29	20	0.028	0.028
e	29	21	0.028	0.028
e	29	25	0.028	0.028
e	30	22	0.028	0.028
e	30	23	0.028	0.028
e	30	24	0.028	0.028
e	30	25	0.028	0.028
e	31	26	0.028	0.028
e	31	27	0.028	0.028
e	31	28	0.028	0.028
e	31	29	0.028	0.028
e	31	30	0.028	0.028
