x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16
0.0	0.1067	0.2653	0.5347	0.093	0.0	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1067	0.2653	0.5347	0.093	0.0	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1048	0.4631	0.3388	0.093	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1048	0.4631	0.3388	0.093	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1205	0.2508	0.535	0.0931	0.0001	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1205	0.2508	0.535	0.0931	0.0001	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.3926	0.1258	0.382	0.0944	0.0008	0.0027	0.0005	0.0004	0.0001	0.0003	0.0002	0.0001	0.0001	0.0001	0.0
0.0	0.6313	0.1472	0.1188	0.0942	0.0039	0.0021	0.0009	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001
0.0	0.6313	0.1472	0.1188	0.0942	0.0039	0.0021	0.0009	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001
0.0	0.2461	0.2525	0.0933	0.4076	0.0002	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.2458	0.2522	0.4084	0.0931	0.0002	0.0002	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.4019	0.0943	0.252	0.2503	0.0002	0.0006	0.0005	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0
0.0	0.3725	0.2736	0.1768	0.1701	0.0027	0.0013	0.0011	0.0005	0.0004	0.0003	0.0002	0.0002	0.0001	0.0001	0.0001
0.0	0.5602	0.1809	0.1281	0.115	0.005	0.0032	0.0027	0.0012	0.0011	0.0008	0.0005	0.0005	0.0004	0.0003	0.0002
0.0	0.6378	0.1148	0.1042	0.102	0.011	0.0088	0.0086	0.0022	0.0022	0.002	0.0017	0.0016	0.0015	0.0009	0.0007
0.0	0.6378	0.1148	0.1042	0.102	0.011	0.0088	0.0086	0.0022	0.0022	0.002	0.0017	0.0016	0.0015	0.0009	0.0007
0.0	0.4816	0.2112	0.1053	0.105	0.0333	0.0131	0.0131	0.0074	0.0074	0.0046	0.0049	0.0049	0.0034	0.0027	0.0022
0.0	0.4816	0.2112	0.1053	0.105	0.0333	0.0131	0.0131	0.0074	0.0074	0.0046	0.0049	0.0049	0.0034	0.0027	0.0022
0.0	0.4904	0.1166	0.1159	0.1153	0.0309	0.0308	0.0307	0.0109	0.0109	0.0109	0.0086	0.0086	0.0086	0.0059	0.005
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0	0.1941	0.1941	0.1267	0.1267	0.0486	0.0399	0.0399	0.0399	0.0399	0.0312	0.0256	0.0256	0.0241	0.0241	0.0196
0.0	0.4766	0.14	0.1155	0.1155	0.0311	0.0256	0.0256	0.0116	0.0116	0.0104	0.0087	0.0087	0.0082	0.006	0.0051
0.0	0.629	0.1174	0.1057	0.1057	0.0111	0.009	0.009	0.0023	0.0023	0.0021	0.0017	0.0017	0.0016	0.0009	0.0008
0.0	0.6998	0.098	0.0959	0.0959	0.0032	0.0026	0.0026	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0001	0.0001
0.0	0.3899	0.4157	0.0943	0.0943	0.0036	0.0005	0.0005	0.0004	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	0.0
0.0	0.2409	0.2536	0.4099	0.0937	0.0006	0.0005	0.0001	0.0004	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0
0.0	0.1328	0.5951	0.1781	0.0931	0.0003	0.0001	0.0	0.0003	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1205	0.1228	0.6631	0.0931	0.0	0.0002	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1731	0.5533	0.1783	0.0933	0.0012	0.0002	0.0001	0.0002	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.3371	0.3327	0.2086	0.0992	0.008	0.0043	0.0019	0.0023	0.0018	0.0012	0.0009	0.0007	0.0005	0.0005	0.0003
0.0	0.5292	0.1828	0.1354	0.103	0.0131	0.0095	0.0079	0.0042	0.0036	0.0029	0.0022	0.002	0.0018	0.0013	0.001
0.0	0.6813	0.1091	0.1009	0.0956	0.0044	0.0032	0.0027	0.0006	0.0005	0.0004	0.0004	0.0004	0.0003	0.0002	0.0001
0.0	0.7132	0.0957	0.0944	0.0936	0.0012	0.0009	0.0007	0.0001	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0
0.0	0.3992	0.4121	0.0936	0.0932	0.0013	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.4255	0.1813	0.1321	0.1202	0.028	0.0224	0.0219	0.0125	0.012	0.0101	0.008	0.0079	0.0074	0.0058	0.0047
0.0	0.2302	0.1224	0.1197	0.1174	0.0555	0.0554	0.0553	0.0361	0.036	0.0358	0.0294	0.0293	0.0293	0.0259	0.0224
0.0	0.1727	0.386	0.1169	0.1159	0.0457	0.018	0.0179	0.0297	0.0296	0.0146	0.0128	0.0128	0.0089	0.0112	0.0075
