x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16
0.0	0.0776	0.1931	0.3891	0.0677	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0776	0.1931	0.3891	0.0677	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0699	0.3089	0.226	0.062	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0699	0.3089	0.226	0.062	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0656	0.1365	0.2911	0.0506	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0656	0.1365	0.2911	0.0506	0.0001	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1913	0.0613	0.1861	0.046	0.0004	0.0013	0.0002	0.0002	0.0001	0.0002	0.0001	0.0	0.0001	0.0	0.0
0.0	0.4351	0.1014	0.0819	0.0649	0.0027	0.0015	0.0006	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0
0.0	0.4351	0.1014	0.0819	0.0649	0.0027	0.0015	0.0006	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0
0.0	0.1277	0.131	0.0484	0.2115	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1276	0.1309	0.2119	0.0483	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1639	0.0385	0.1028	0.1021	0.0001	0.0002	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1396	0.1025	0.0663	0.0638	0.001	0.0005	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0	0.0	0.0
0.0	0.1805	0.0583	0.0413	0.0371	0.0016	0.001	0.0009	0.0004	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001
0.0	0.2822	0.0508	0.0461	0.0451	0.0049	0.0039	0.0038	0.001	0.001	0.0009	0.0007	0.0007	0.0007	0.0004	0.0003
0.0	0.2822	0.0508	0.0461	0.0451	0.0049	0.0039	0.0038	0.001	0.001	0.0009	0.0007	0.0007	0.0007	0.0004	0.0003
0.0	0.2213	0.097	0.0484	0.0482	0.0153	0.006	0.006	0.0034	0.0034	0.0021	0.0023	0.0023	0.0016	0.0012	0.001
0.0	0.2213	0.097	0.0484	0.0482	0.0153	0.006	0.006	0.0034	0.0034	0.0021	0.0023	0.0023	0.0016	0.0012	0.001
0.0	0.1935	0.046	0.0457	0.0455	0.0122	0.0121	0.0121	0.0043	0.0043	0.0043	0.0034	0.0034	0.0034	0.0023	0.002
0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
0.0	0.1766	0.1766	0.1153	0.1153	0.0442	0.0363	0.0363	0.0363	0.0363	0.0284	0.0233	0.0233	0.0219	0.0219	0.0178
0.0	0.3743	0.1099	0.0907	0.0907	0.0244	0.0201	0.0201	0.0091	0.0091	0.0082	0.0068	0.0068	0.0064	0.0047	0.004
0.0	0.3609	0.0674	0.0606	0.0606	0.0064	0.0051	0.0051	0.0013	0.0013	0.0012	0.001	0.001	0.0009	0.0005	0.0004
0.0	0.6335	0.0888	0.0869	0.0869	0.0029	0.0024	0.0024	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001
0.0	0.3492	0.3724	0.0845	0.0845	0.0032	0.0004	0.0004	0.0003	0.0003	0.0001	0.0001	0.0001	0.0	0.0001	0.0
0.0	0.2273	0.2393	0.3867	0.0884	0.0005	0.0005	0.0001	0.0004	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0
0.0	0.1052	0.4714	0.1411	0.0738	0.0003	0.0001	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1041	0.1061	0.573	0.0804	0.0	0.0002	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1731	0.5531	0.1783	0.0932	0.0012	0.0002	0.0001	0.0002	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.2158	0.2129	0.1335	0.0635	0.0051	0.0028	0.0012	0.0015	0.0011	0.0008	0.0006	0.0005	0.0003	0.0003	0.0002
0.0	0.4159	0.1436	0.1064	0.0809	0.0103	0.0074	0.0062	0.0033	0.0028	0.0023	0.0017	0.0016	0.0014	0.0011	0.0008
0.0	0.5857	0.0938	0.0867	0.0822	0.0038	0.0027	0.0023	0.0005	0.0004	0.0004	0.0003	0.0003	0.0003	0.0001	0.0001
0.0	0.6553	0.0879	0.0867	0.086	0.0011	0.0008	0.0007	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0
0.0	0.3137	0.3239	0.0735	0.0732	0.0011	0.0001	0.0001	0.0001	0.0001	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.1912	0.0815	0.0594	0.054	0.0126	0.0101	0.0099	0.0056	0.0054	0.0045	0.0036	0.0036	0.0033	0.0026	0.0021
0.0	0.1055	0.0561	0.0549	0.0538	0.0254	0.0254	0.0253	0.0165	0.0165	0.0164	0.0135	0.0135	0.0134	0.0119	0.0103
