nodenum	simstate
1	2
2	4
3	4
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	3
12	2
13	2
14	2
15	2
16	1
17	3
18	3
19	2
20	2
21	2
22	3
23	1
24	3
25	2
26	4
27	3
28	3
29	4
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	3
38	3
39	2
40	4
41	2
42	4
43	3
44	3
45	3
46	4
47	3
48	3
49	3
50	3
51	2
52	2
53	2
54	4
55	2
56	2
57	2
58	4
59	2
60	4
61	2
62	4
63	2
64	3
65	2
66	4
67	4
68	4
69	2
70	3
71	2
72	3
73	3
74	3
75	2
76	2
77	2
78	2
79	3
80	3
81	3
82	4
83	3
84	4
85	3
86	3
87	3
88	3
89	3
90	3
91	3
92	3
93	3
94	3
95	3
96	3
97	3
98	4
99	3
