d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-3.895732316150303	-2.9957322735539913	-6.891464589704294
0.0	0.0	0.0	0.3	0.0	0.5	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-4.690232671306325	-3.142122209472629	-7.832354880778954
0.0	0.0	0.0	0.3	0.0	1.0	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-5.657415464334263	-3.29651705192045	-8.953932516254714
0.0	0.0	0.0	0.3	0.0	1.5	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-7.795699333079651	-2.9957322735539913	-10.791431606633642	-6.671806518318498	-3.5139940029768444	-10.185800521295342
0.0	0.0	0.0	0.3	0.0	2.0	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-9.132695982834232	-2.9957322735539913	-12.128428256388222	-7.6368435305531985	-3.8418749278232784	-11.478718458376477
0.0	0.0	0.0	0.3	0.5	0.0	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-4.636483897302199	-2.9957322735539913	-7.63221617085619
0.0	0.0	0.0	0.3	0.5	0.5	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-5.471539327081881	-3.1055852170296925	-8.577124544111573
0.0	0.0	0.0	0.3	0.5	1.0	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-6.4901137533520075	-3.2150004182518446	-9.705114171603853
0.0	0.0	0.0	0.3	0.5	1.5	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-8.363805411612459	-3.1981944755038874	-11.561999887116347	-7.581531260011012	-3.3647642191659886	-10.946295479177
0.0	0.0	0.0	0.3	0.5	2.0	-9.594004398367485	-3.296359228776706	-12.89036362714419	-9.594004398367485	-3.296359228776706	-12.89036362714419	-8.656211934374689	-3.5959299320371745	-12.252141866411863
0.0	0.0	0.0	0.3	1.0	0.0	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	-5.464239919394911	-2.9957322735539913	-8.459972192948904
0.0	0.0	0.0	0.3	1.0	0.5	-6.9253729050311	-3.121678230061308	-10.047051135092408	-6.9253729050311	-3.121678230061308	-10.047051135092408	-6.330551547579022	-3.07892174652965	-9.409473294108672
0.0	0.0	0.0	0.3	1.0	1.0	-8.01049627457606	-3.155927357795854	-11.166423632371913	-8.01049627457606	-3.155927357795854	-11.166423632371913	-7.387290979439793	-3.1559274287465726	-10.543218408186366
0.0	0.0	0.0	0.3	1.0	1.5	-9.201531791093029	-3.2129742426780954	-12.414506033771124	-9.201531791093029	-3.2129742426780954	-12.414506033771124	-8.536400374999996	-3.255522447686236	-11.791922822686232
0.0	0.0	0.0	0.3	1.0	2.0	-10.433465533482451	-3.306570667468353	-13.740036200950804	-10.433465533482451	-3.306570667468353	-13.740036200950804	-9.699466941915148	-3.408267109309688	-13.107734051224835
0.0	0.0	0.0	0.3	1.5	0.0	-6.940683020097556	-3.094706885643237	-10.035389905740793	-6.940683020097556	-3.094706885643237	-10.035389905740793	-6.345562098884091	-2.9957322735539913	-9.341294372438082
0.0	0.0	0.0	0.3	1.5	0.5	-7.840435779136964	-3.1102619917344447	-10.95069777087141	-7.840435779136964	-3.1102619917344447	-10.95069777087141	-7.234745891397682	-3.060402772884773	-10.295148664282454
0.0	0.0	0.0	0.3	1.5	1.0	-8.932617887761532	-3.1374982493212475	-12.07011613708278	-8.932617887761532	-3.1374982493212475	-12.07011613708278	-8.318020929290883	-3.1157596965791474	-11.43378062587003
0.0	0.0	0.0	0.3	1.5	1.5	-10.136075518455147	-3.1820302702931476	-13.318105788748294	-10.136075518455147	-3.1820302702931476	-13.318105788748294	-9.506398062015824	-3.182030435946671	-12.688428497962494
0.0	0.0	0.0	0.3	1.5	2.0	-11.389401433606348	-3.2540730361532115	-14.64347446975956	-11.389401433606348	-3.2540730361532115	-14.64347446975956	-10.731911608590362	-3.2799894118465978	-14.01190102043696
0.0	0.0	0.0	0.3	2.0	0.0	-7.8872262738022245	-3.0817286859092423	-10.968954959711468	-7.8872262738022245	-3.0817286859092423	-10.968954959711468	-7.260905209749983	-2.9957322735539913	-10.256637483303974
0.0	0.0	0.0	0.3	2.0	0.5	-8.791460200127533	-3.0934004311225265	-11.88486063125006	-8.791460200127533	-3.0934004311225265	-11.88486063125006	-8.166731749233431	-3.0475753167371433	-11.214307065970575
0.0	0.0	0.0	0.3	2.0	1.0	-9.89141973715788	-3.1135234257311213	-13.004943162889003	-9.89141973715788	-3.1135234257311213	-13.004943162889003	-9.268182580737491	-3.0887685695287104	-12.356951150266202
0.0	0.0	0.0	0.3	2.0	1.5	-11.10800453997266	-3.145734971686737	-14.253739511659397	-11.10800453997266	-3.145734971686737	-14.253739511659397	-10.482320316202115	-3.1339611549046387	-13.616281471106753
0.0	0.0	0.0	0.3	2.0	2.0	-12.3832108149607	-3.1969047202912875	-15.580115535251988	-12.3832108149607	-3.1969047202912875	-15.580115535251988	-11.748688809818107	-3.196905228550379	-14.945594038368487
0.0	0.0	0.01	0.3	0.0	0.0	-4.384161570640085	-3.2343983668281733	-7.618559937468259	-4.384161570640085	-3.2343983668281733	-7.618559937468259	-3.8412625853408615	-3.236966467870699	-7.07822905321156
0.0	0.0	0.01	0.3	0.0	0.5	-5.322462622690812	-3.212809812262513	-8.535272434953324	-5.322462622690812	-3.212809812262513	-8.535272434953324	-4.647512415241614	-3.3397435254712047	-7.987255940712819
0.0	0.0	0.01	0.3	0.0	1.0	-6.467392923710114	-3.1718363920746477	-9.639229315784762	-6.467392923710114	-3.1718363920746477	-9.639229315784762	-5.629438825223741	-3.4354901703960135	-9.064928995619756
0.0	0.0	0.01	0.3	0.0	1.5	-7.739422705116205	-3.1248404044383493	-10.864263109554553	-7.739422705116205	-3.1248404044383493	-10.864263109554553	-6.655905456156485	-3.5895037486960284	-10.245409204852514
0.0	0.0	0.01	0.3	0.0	2.0	-9.087388699351239	-3.084179020646965	-12.171567719998205	-9.087388699351239	-3.084179020646965	-12.171567719998205	-7.629345504970077	-3.8525024378614465	-11.481847942831523
0.0	0.0	0.01	0.3	0.5	0.0	-5.021072609104738	-3.3390750520544024	-8.360147661159141	-5.021072609104738	-3.3390750520544024	-8.360147661159141	-4.539600940017941	-3.2580097768516842	-7.797610716869626
0.0	0.0	0.01	0.3	0.5	0.5	-5.939550605226263	-3.3473724621514904	-9.286923067377753	-5.939550605226263	-3.3473724621514904	-9.286923067377753	-5.393135196694285	-3.3534991142359214	-8.746634310930206
0.0	0.0	0.01	0.3	0.5	1.0	-7.0499533856283225	-3.3463474302534664	-10.396300815881789	-7.0499533856283225	-3.3463474302534664	-10.396300815881789	-6.434608217135658	-3.4159927579451392	-9.850600975080797
0.0	0.0	0.01	0.3	0.5	1.5	-8.259867433489749	-3.3499057227206843	-11.609773156210434	-8.259867433489749	-3.3499057227206843	-11.609773156210434	-7.544485685483786	-3.498005343974424	-11.04249102945821
0.0	0.0	0.01	0.3	0.5	2.0	-9.500276860432969	-3.389942452243873	-12.890219312676841	-9.500276860432969	-3.389942452243873	-12.890219312676841	-8.631412645489187	-3.6584008199474956	-12.289813465436682
0.0	0.0	0.01	0.3	1.0	0.0	-5.801326190916459	-3.324817257503941	-9.1261434484204	-5.801326190916459	-3.324817257503941	-9.1261434484204	-5.2971480667928095	-3.1420291363570736	-8.439177203149884
0.0	0.0	0.01	0.3	1.0	0.5	-6.723029704357983	-3.3619228307958537	-10.084952535153837	-6.723029704357983	-3.3619228307958537	-10.084952535153837	-6.196389919386273	-3.3023911810410387	-9.498781100427312
0.0	0.0	0.01	0.3	1.0	1.0	-7.841332496487259	-3.395732303025006	-11.237064799512265	-7.841332496487259	-3.395732303025006	-11.237064799512265	-7.292232375449448	-3.401815200997321	-10.694047576446769
0.0	0.0	0.01	0.3	1.0	1.5	-9.059510253502534	-3.4105013316034705	-12.470011585106004	-9.059510253502534	-3.4105013316034705	-12.470011585106004	-8.472681980016729	-3.457429575561286	-11.930111555578016
0.0	0.0	0.01	0.3	1.0	2.0	-10.308170662514097	-3.4385470314285467	-13.746717693942644	-10.308170662514097	-3.4385470314285467	-13.746717693942644	-9.656566311257603	-3.537102649949266	-13.193668961206868
0.0	0.0	0.01	0.3	1.5	0.0	-6.635339230244023	-3.1811617615875685	-9.816500991831592	-6.635339230244023	-3.1811617615875685	-9.816500991831592	-6.0572159828058645	-2.807159574911896	-8.86437555771776
0.0	0.0	0.01	0.3	1.5	0.5	-7.566541356247404	-3.25300883868854	-10.819550194935944	-7.566541356247404	-3.25300883868854	-10.819550194935944	-7.00614810102878	-3.072181634683274	-10.078329735712053
0.0	0.0	0.01	0.3	1.5	1.0	-8.706760261702554	-3.357115628176524	-12.063875889879078	-8.706760261702554	-3.357115628176524	-12.063875889879078	-8.157812705732175	-3.299210652156249	-11.457023357888424
0.0	0.0	0.01	0.3	1.5	1.5	-9.952796972184675	-3.419117873666645	-13.37191484585132	-9.952796972184675	-3.419117873666645	-13.37191484585132	-9.40103997297582	-3.424008204353896	-12.825048177329716
0.0	0.0	0.01	0.3	1.5	2.0	-11.235182871496898	-3.444994619277889	-14.680177490774787	-11.235182871496898	-3.444994619277889	-14.680177490774787	-10.663473493508441	-3.4820295565022756	-14.145503050010717
0.0	0.0	0.01	0.3	2.0	0.0	-7.474412243520567	-2.9066276251923484	-10.381039868712916	-7.474412243520567	-2.9066276251923484	-10.381039868712916	-6.766398512575805	-2.344355639232061	-9.110754151807866
0.0	0.0	0.01	0.3	2.0	0.5	-8.414844331317225	-2.9938365689536175	-11.408680900270841	-8.414844331317225	-2.9938365689536175	-11.408680900270841	-7.776661539740774	-2.654843264390336	-10.431504804131109
0.0	0.0	0.01	0.3	2.0	1.0	-9.584115630809073	-3.1799248957711597	-12.764040526580233	-9.584115630809073	-3.1799248957711597	-12.764040526580233	-8.9957435672734	-3.0017152476024536	-11.997458814875854
0.0	0.0	0.01	0.3	2.0	1.5	-10.867264331540616	-3.347293095158606	-14.214557426699223	-10.867264331540616	-3.347293095158606	-14.214557426699223	-10.305424987074757	-3.287016515100061	-13.592441502174818
