d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-4.495748576969988	-2.9957322735539913	-7.491480850523979	-4.495720874252926	-2.9957322735539913	-7.491453147806918
0.0	0.0	0.0	0.3	0.0	0.5	-5.414328841925112	-2.9957322735539913	-8.410061115479103	-5.414328841925112	-2.9957322735539913	-8.410061115479103	-5.414162488762701	-2.9957322735539913	-8.409894762316693
0.0	0.0	0.0	0.3	0.0	1.0	-6.53939528538337	-2.9957322735539913	-9.535127558937361	-6.53939528538337	-2.9957322735539913	-9.535127558937361	-6.539360549545779	-2.9957322735539913	-9.53509282309977
0.0	0.0	0.0	0.3	0.5	0.0	-5.188621703414544	-3.086673863419841	-8.275295566834385	-5.188621703414544	-3.086673863419841	-8.275295566834385	-5.188595112365755	-3.086681840269469	-8.275276952635224
0.0	0.0	0.0	0.3	0.5	0.5	-6.085580462218729	-3.1055839442293567	-9.191164406448086	-6.085580462218729	-3.1055839442293567	-9.191164406448086	-6.085586529554905	-3.105584709387841	-9.191171238942745
0.0	0.0	0.0	0.3	0.5	1.0	-7.17212492779608	-3.139793913759647	-10.311918841555727	-7.17212492779608	-3.139793913759647	-10.311918841555727	-7.172034070799107	-3.1397975005089642	-10.31183157130807
0.0	0.0	0.0	0.3	1.0	0.0	-6.029589373401455	-3.1023949007580196	-9.131984274159475	-6.029589373401455	-3.1023949007580196	-9.131984274159475	-6.029647087574602	-3.102396208541286	-9.132043296115889
0.0	0.0	0.0	0.3	1.0	0.5	-6.92541777634641	-3.1216719370103894	-10.0470897133568	-6.92541777634641	-3.1216719370103894	-10.0470897133568	-6.925465198127894	-3.1216755774861147	-10.047140775614007
0.0	0.0	0.0	0.3	1.0	1.0	-8.010606274546078	-3.155927759362575	-11.166534033908652	-8.010606274546078	-3.155927759362575	-11.166534033908652	-8.01046034259983	-3.1559274521378966	-11.166387794737727
0.0	0.0	0.1	0.3	0.0	0.0	-3.7884111647764294	-2.894811493313907	-6.683222658090337	-3.7884111647764294	-2.894811493313907	-6.683222658090337	-3.7883890587010263	-2.894811493313907	-6.683200552014933
0.0	0.0	0.1	0.3	0.0	0.5	-4.841991776397267	-3.0242986798629796	-7.866290456260247	-4.841991776397267	-3.0242986798629796	-7.866290456260247	-4.841959149129527	-3.0243303533489683	-7.8662895024784945
