d_val	e_val	j_val	lambda_val	mu_val1	mu_val2	Julia_sum_lq_nFv5	rootstates_lnL_nFv5	Julia_total_lnLs1_nFv5	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6
0.0	0.0	0.0	0.3	0.0	0.0	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-4.495732271326334	-2.9957322735539913	-7.491464544880325	-2.0957321708386085	-2.9957322735539913	-5.091464444392599
0.0	0.0	0.0	0.3	0.0	0.5	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-5.414314844694269	-2.9957322735539913	-8.410047118248261	-0.01934682995655912	-2.9957322735539913	-3.0150791035105504
0.0	0.0	0.0	0.3	0.0	1.0	-6.539350313949695	-2.9957322735539913	-9.535082587503688	-6.539350313949695	-2.9957322735539913	-9.535082587503688	1.8516009229209844	-2.9957322735539913	-1.1441313506330069
0.0	0.0	0.0	0.3	0.5	0.0	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-5.1886479295618635	-3.086679304821254	-8.275327234383118	-0.6873934457539588	-3.178854347967748	-3.8662477937217066
0.0	0.0	0.0	0.3	0.5	0.5	-6.085585687148992	-3.1055852149232934	-9.191170902072285	-6.085585687148992	-3.1055852149232934	-9.191170902072285	1.3054723206242875	-3.105585222775113	-1.8001129021508255
0.0	0.0	0.0	0.3	0.5	1.0	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	-7.1721015946043085	-3.1397924115638136	-10.311894006168123	3.1360154631748163	-3.072223905221822	0.06379155795299418
0.0	0.0	0.0	0.3	1.0	0.0	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	-6.0295376463419075	-3.1023988561661398	-9.131936502508047	0.7433145822337446	-3.433290483033012	-2.6899759007992676
0.0	0.0	0.0	0.3	1.0	0.5	-6.9253729050311	-3.121678230061308	-10.047051135092408	-6.9253729050311	-3.121678230061308	-10.047051135092408	2.606405894801343	-3.242976399570663	-0.63657050476932
0.0	0.0	0.0	0.3	1.0	1.0	-8.01049627457606	-3.155927357795854	-11.166423632371913	-8.01049627457606	-3.155927357795854	-11.166423632371913	4.374701711470465	-3.1559274298903075	1.2187742815801572
0.0	0.0	0.1	0.3	0.0	0.0	-3.7884004557417357	-2.894811493313907	-6.683211949055643	-3.7884004557417357	-2.894811493313907	-6.683211949055643	-0.986672356111864	-3.043485876940653	-4.030158233052517
0.0	0.0	0.1	0.3	0.0	0.5	-4.841975246009341	-3.0243245867443265	-7.866299832753667	-4.841975246009341	-3.0243245867443265	-7.866299832753667	1.2174361432703407	-2.5932545130541738	-1.375818369783833
0.0	0.0	0.1	0.3	0.0	1.0	-6.088540673949799	-3.178512554389521	-9.26705322833932	-6.088540673949799	-3.178512554389521	-9.26705322833932	3.330069562373019	-2.174031555515719	1.1560380068573002
0.0	0.0	0.1	0.3	0.5	0.0	-4.216526824997815	-2.832307985040008	-7.048834810037823	-4.216526824997815	-2.832307985040008	-7.048834810037823	0.6119031070643488	-3.434609356615431	-2.822706249551082
0.0	0.0	0.1	0.3	0.5	0.5	-5.2423436888781225	-2.994409454611323	-8.236753143489445	-5.2423436888781225	-2.994409454611323	-8.236753143489445	2.606300347705099	-3.1794697593457473	-0.5731694116406483
0.0	0.0	0.1	0.3	0.5	1.0	-6.450717029944322	-3.215654675126528	-9.66637170507085	-6.450717029944322	-3.215654675126528	-9.66637170507085	4.546586575767655	-2.772533596671886	1.7740529790957695
0.0	0.0	0.1	0.3	1.0	0.0	-4.819785863925351	-2.623878381231217	-7.443664245156569	-4.819785863925351	-2.623878381231217	-7.443664245156569	2.2800502185757807	-3.432241564602899	-1.1521913460271183
0.0	0.0	0.1	0.3	1.0	0.5	-5.854881389561942	-2.78717446429993	-8.642055853861871	-5.854881389561942	-2.78717446429993	-8.642055853861871	4.0280497416213015	-3.458574052939091	0.5694756886822105
0.0	0.0	0.1	0.3	1.0	1.0	-7.088214119481574	-3.0416002749809183	-10.129814394462493	-7.088214119481574	-3.0416002749809183	-10.129814394462493	5.788205409071185	-3.241457951965332	2.5467474571058535
0.0	0.0	1.0	0.3	0.0	0.0	-2.7909841790561085	-2.842478487383763	-5.633462666439872	-2.7909841790561085	-2.842478487383763	-5.633462666439872	0.31305087663490094	-2.943133599949153	-2.630082723314252
0.0	0.0	1.0	0.3	0.0	0.5	-4.151793253209096	-2.8205312260321627	-6.972324479241259	-4.151793253209096	-2.8205312260321627	-6.972324479241259	2.355934377307663	-2.9613751872926404	-0.6054408099849775
0.0	0.0	1.0	0.3	0.0	1.0	-5.59097713715248	-2.792563730532788	-8.383540867685268	-5.59097713715248	-2.792563730532788	-8.383540867685268	4.3417552387651455	-2.934133185961024	1.4076220528041214
0.0	0.0	1.0	0.3	0.5	0.0	-2.9815321301207423	-2.9874752651859335	-5.969007395306676	-2.9815321301207423	-2.9874752651859335	-5.969007395306676	1.9203294953218375	-3.158518862271132	-1.2381893669492947
0.0	0.0	1.0	0.3	0.5	0.5	-4.280220355536125	-3.0143802883030784	-7.294600643839203	-4.280220355536125	-3.0143802883030784	-7.294600643839203	3.844304306414402	-3.128436328528742	0.7158679778856598
0.0	0.0	1.0	0.3	0.5	1.0	-5.628611673426331	-3.053191978703179	-8.68180365212951	-5.628611673426331	-3.053191978703179	-8.68180365212951	5.717135906971681	-3.1007689855685694	2.6163669214031113
0.0	0.0	1.0	0.3	1.0	0.0	-3.4349953503941917	-3.017427808577073	-6.452423158971264	-3.4349953503941917	-3.017427808577073	-6.452423158971264	3.463881543410883	-3.3694876862234007	0.0943938571874825
0.0	0.0	1.0	0.3	1.0	0.5	-4.770033535224838	-3.051142020041046	-7.821175555265885	-4.770033535224838	-3.051142020041046	-7.821175555265885	5.232377904390392	-3.271472463499295	1.9609054408910973
0.0	0.0	1.0	0.3	1.0	1.0	-6.167626086534886	-3.0879834150701604	-9.255609501605047	-6.167626086534886	-3.0879834150701604	-9.255609501605047	6.96563785694696	-3.206896003960741	3.7587418529862187
0.0	0.5	0.0	0.3	0.0	0.0	-4.646548012659129	-3.3550363871762596	-8.001584399835389	-4.646548012659129	-3.3550363871762596	-8.001584399835389	-2.304737840527814	-3.3550364038931515	-5.659774244420966
0.0	0.5	0.0	0.3	0.0	0.5	-5.466658996435726	-3.4272994187609864	-8.893958415196712	-5.466658996435726	-3.4272994187609864	-8.893958415196712	-0.38631247628593357	-3.247002544296317	-3.6333150205822506
0.0	0.5	0.0	0.3	0.0	1.0	-6.4260478481752195	-3.5541404555992657	-9.980188303774485	-6.4260478481752195	-3.5541404555992657	-9.980188303774485	1.3957028681101078	-3.1924775177284266	-1.7967746496183188
0.0	0.5	0.0	0.3	0.5	0.0	-5.54427613493414	-3.314557670239789	-8.85883380517393	-5.54427613493414	-3.314557670239789	-8.85883380517393	-0.8731303244464117	-3.550920824829475	-4.424051149275886
0.0	0.5	0.0	0.3	0.5	0.5	-6.391785459665411	-3.365947758107343	-9.757733217772754	-6.391785459665411	-3.365947758107343	-9.757733217772754	0.9505631858549566	-3.365947797764393	-2.4153846119094364
0.0	0.5	0.0	0.3	0.5	1.0	-7.397516411231294	-3.455162039397219	-10.852678450628513	-7.397516411231294	-3.455162039397219	-10.852678450628513	2.6827068226933486	-3.273839846121889	-0.5911330234285406
0.0	0.5	0.0	0.3	1.0	0.0	-6.4921199707538175	-3.2717614390848295	-9.763881409838646	-6.4921199707538175	-3.2717614390848295	-9.763881409838646	0.5938237070296517	-3.8165952754018417	-3.22277156837219
0.0	0.5	0.0	0.3	1.0	0.5	-7.359549082704101	-3.308498735515401	-10.668047818219502	-7.359549082704101	-3.308498735515401	-10.668047818219502	2.284097710160723	-3.520332842649288	-1.2362351324885648
0.0	0.5	0.0	0.3	1.0	1.0	-8.398710296810513	-3.3713190081804734	-11.770029304990986	-8.398710296810513	-3.3713190081804734	-11.770029304990986	3.943903161185066	-3.371319104247573	0.5725840569374929
0.0	0.5	0.1	0.3	0.0	0.0	-3.4665057925629155	-3.179092106235331	-6.645597898798247	-3.4665057925629155	-3.179092106235331	-6.645597898798247	-0.6242322240233906	-3.311948433016398	-3.9361806570397886
0.0	0.5	0.1	0.3	0.0	0.5	-4.439253014151789	-3.3494353480992243	-7.788688362251014	-4.439253014151789	-3.3494353480992243	-7.788688362251014	1.4956901993756464	-2.8707681262826967	-1.3750779269070503
0.0	0.5	0.1	0.3	0.0	1.0	-5.546788085664657	-3.5509549851127886	-9.097743070777446	-5.546788085664657	-3.5509549851127886	-9.097743070777446	3.5824249905071115	-2.4565017597024337	1.1259232308046778
0.0	0.5	0.1	0.3	0.5	0.0	-4.02469135129633	-3.012535668365001	-7.03722701966133	-4.02469135129633	-3.012535668365001	-7.03722701966133	0.9597819748061607	-3.577934485774887	-2.6181525109687263
